v_inf_initial_km_s,periapsis_altitude_km,inclination_deg,total_delta_v_km_s,v_inf_final_km_s,flyby_1_dv_km_s,flyby_2_dv_km_s,flyby_3_dv_km_s
4.0,100.0,0.0,3.238397200467686,0.7616027995323138,0.9234043601450052,1.062490119374585,1.252502720948096
4.0,100.0,5.0,3.223979931118545,0.7760200688814551,0.9198905277712549,1.0578682222869176,1.2462211810603723
4.0,100.0,10.0,3.1809413370646853,0.8190586629353145,0.9093757730360782,1.0440663823453635,1.2274991816832437
4.0,100.0,15.0,3.1099171271266726,0.8900828728733279,0.8919401195719925,1.0212745552720481,1.196702452282632
4.0,100.0,20.0,3.0119530458302197,0.9880469541697796,0.8677162632297948,0.9898040622857722,1.154432720314653
4.0,100.0,25.0,2.888482235078023,1.1115177649219772,0.8368885621830133,0.950079877565055,1.1015137953299547
4.0,100.0,30.0,2.741290627180142,1.258709372819858,0.7996916338508894,0.9026302183136341,1.0389687750156187
5.0,100.0,0.0,2.725327708006188,2.274672291993812,0.8020381085879346,0.8971003598806174,1.0261892395376357
5.0,100.0,5.0,2.713481255377725,2.286518744622275,0.798986111442832,0.8932918862246522,1.0212032577102408
5.0,100.0,10.0,2.678113012417973,2.3218869875820274,0.7898533475486451,0.8819151018754009,1.006344562993927
5.0,100.0,15.0,2.619730884120753,2.380269115879247,0.7747093227531222,0.8631147530317921,0.9819068083358387
5.0,100.0,20.0,2.539163527612944,2.460836472387056,0.7536692922291692,0.8371282526025744,0.9483659827812001
5.0,100.0,25.0,2.437534559031447,2.5624654409685537,0.7268933833133913,0.8042800997213997,0.9063610759966558
5.0,100.0,30.0,2.316228395336149,2.6837716046638507,0.6945853768403736,0.7649743887857791,0.8566686297099961
6.0,100.0,0.0,2.333352958560799,3.666647041439201,0.7055918318969014,0.7713368843214001,0.8564242423424973
6.0,100.0,5.0,2.323498018944819,3.676501981055181,0.7029068419525354,0.7681321776507747,0.8524589993415087
6.0,100.0,10.0,2.2940609695674183,3.705939030432582,0.6948723065141551,0.758555722954138,0.8406329400991254
6.0,100.0,15.0,2.2454214456435624,3.7545785543564376,0.6815493732478319,0.7427197078242795,0.8211523645714508
6.0,100.0,20.0,2.1782001495791365,3.821799850420863,0.6630394377203295,0.7208084486452843,0.794352263213523
6.0,100.0,25.0,2.093241570056507,3.9067584299434936,0.6394833717176167,0.6930745048327442,0.7606836935061456
6.0,100.0,30.0,1.991591225379858,4.008408774620142,0.6110604511255159,0.6598334495187809,0.7206973247355611
7.0,100.0,0.0,2.0356225095286877,4.964377490471313,0.6281942236849462,0.674867800930912,0.7325604849128293
7.0,100.0,5.0,2.02721581744649,4.97278418255351,0.6258037550068034,0.6721108089972894,0.7293012534423972
7.0,100.0,10.0,2.002094471694365,4.997905528305635,0.6186505418824202,0.6638700092189982,0.7195739205929468
7.0,100.0,15.0,1.9605522480325908,5.03944775196741,0.6067890245829014,0.6502353514900544,0.7035278719596348
7.0,100.0,20.0,1.903070850601655,5.0969291493983455,0.5903094764170762,0.6313548455918585,0.6814065285927202
7.0,100.0,25.0,1.8303084728864878,5.169691527113512,0.5693373166971099,0.6074317718729274,0.6535393843164505
7.0,100.0,30.0,1.7430846302680711,5.256915369731929,0.5440321562218075,0.5787209136798427,0.620331560366421
8.0,100.0,0.0,1.8042793059464817,6.195720694053518,0.5651944177615882,0.5992593800182309,0.6398255081666627
8.0,100.0,5.0,1.7969499014229455,6.203050098577054,0.5630436823651452,0.5968426146231481,0.6370636044346523
8.0,100.0,10.0,1.7750412653810752,6.224958734618925,0.5566078445708329,0.5896172808207145,0.6288161399895279
8.0,100.0,15.0,1.7387904597164847,6.261209540283515,0.545935884990331,0.5776578348191224,0.6151967399070314
8.0,100.0,20.0,1.6885870966787473,6.311412903321253,0.5311090236799524,0.5610869476884234,0.5963911253103714
8.0,100.0,25.0,1.6249653693058992,6.3750346306941,0.5122401020069728,0.5400734192375933,0.5726518480613333
8.0,100.0,30.0,1.548593405341824,6.451406594658176,0.4894727238586902,0.5148293505302871,0.5442913309528469
