chunk_mass_t,power_kWe,power_optimal_isp_s,delivered_mass_t,delivery_fraction_pct
5.0,5,1975.6751034075414,3.8230457109452405,76.4609142189048
5.0,10,3718.479034067869,4.3355073234977235,86.71014646995448
5.0,20,7189.75969856599,4.644514510188317,92.89029020376634
5.0,40,14123.905367527868,4.8157654660365745,96.31530932073149
5.0,70,24521.841218783895,4.893042181811465,97.86084363622929
5.0,100,34918.9546070506,4.924647410694312,98.49294821388624
5.0,200,69574.78433799886,4.962038190650818,99.24076381301636
5.0,500,,,
5.0,1000,,,
50.0,5,341.3680122552651,10.577265161424751,21.154530322849503
50.0,10,542.9084531767975,18.827800500190786,37.65560100038158
50.0,20,913.5901024355984,27.98357755615408,55.96715511230816
50.0,40,1624.6974701283575,36.07691027934568,72.15382055869138
50.0,70,2674.3002253737673,41.00712896509076,82.01425793018151
50.0,100,3718.4790340678687,43.35507323497723,86.71014646995447
50.0,200,7189.759698565991,46.44514510188317,92.89029020376634
50.0,500,17590.064748168996,48.51524165343293,97.03048330686586
50.0,1000,34918.95460705059,49.24647410694311,98.49294821388622
200.0,5,154.0426817099362,6.398565315123851,3.1992826575619255
200.0,10,225.30950483040266,19.008328680568752,9.504164340284376
200.0,20,341.3680122552651,42.309060645699006,21.154530322849503
200.0,40,542.9084531767975,75.31120200076315,37.65560100038158
200.0,70,822.7460216252658,104.98592953389594,52.49296476694797
200.0,100,1093.3760084334817,123.1433737183455,61.57168685917275
200.0,200,1975.6751034075417,152.92182843780964,76.46091421890482
200.0,500,4587.093109306148,178.1669002296488,89.0834501148244
200.0,1000,8923.743242897524,188.4621069075489,94.23105345377445
500.0,5,96.04744574480377,2.0014537096925777,0.4002907419385156
500.0,10,136.99344207376723,10.42250196592923,2.084500393185846
500.0,20,198.72593992624329,34.68642251810641,6.9372845036212825
500.0,40,297.2239185345478,83.98106950319873,16.796213900639746
500.0,70,424.73215568971113,143.47610795101605,28.695221590203207
500.0,100,542.9084531767974,188.27800500190781,37.65560100038156
500.0,200,913.5901024355984,279.83577556154086,55.96715511230818
500.0,500,1975.6751034075417,382.30457109452414,76.46091421890482
500.0,1000,3718.4790340678687,433.5507323497723,86.71014646995447
