arch,wacc,lr,regime,p_npv_pos
VariantB_500kWe,0.03,0.0,bottoms_up_first_unit,0.0376
VariantB_500kWe,0.03,0.1,bottoms_up_first_unit,0.0655
VariantB_500kWe,0.03,0.15,bottoms_up_first_unit,0.0864
VariantB_500kWe,0.03,0.2,bottoms_up_first_unit,0.1104
VariantB_500kWe,0.087,0.0,bottoms_up_first_unit,0.0113
VariantB_500kWe,0.087,0.1,bottoms_up_first_unit,0.022
VariantB_500kWe,0.087,0.15,bottoms_up_first_unit,0.0287
VariantB_500kWe,0.087,0.2,bottoms_up_first_unit,0.0362
E_500kWe_200t,0.03,0.0,bottoms_up_first_unit,0.0108
E_500kWe_200t,0.03,0.1,bottoms_up_first_unit,0.0183
E_500kWe_200t,0.03,0.15,bottoms_up_first_unit,0.0245
E_500kWe_200t,0.03,0.2,bottoms_up_first_unit,0.0325
E_500kWe_200t,0.087,0.0,bottoms_up_first_unit,0.0009
E_500kWe_200t,0.087,0.1,bottoms_up_first_unit,0.0016
E_500kWe_200t,0.087,0.15,bottoms_up_first_unit,0.0021
E_500kWe_200t,0.087,0.2,bottoms_up_first_unit,0.0037
E_200kWe_100t,0.03,0.0,bottoms_up_first_unit,0.0142
E_200kWe_100t,0.03,0.1,bottoms_up_first_unit,0.0253
E_200kWe_100t,0.03,0.15,bottoms_up_first_unit,0.0327
E_200kWe_100t,0.03,0.2,bottoms_up_first_unit,0.0428
E_200kWe_100t,0.087,0.0,bottoms_up_first_unit,0.0013
E_200kWe_100t,0.087,0.1,bottoms_up_first_unit,0.0024
E_200kWe_100t,0.087,0.15,bottoms_up_first_unit,0.0039
E_200kWe_100t,0.087,0.2,bottoms_up_first_unit,0.0056
VariantB_500kWe,0.03,0.15,r8_placeholder_constant,0.4996
VariantB_500kWe,0.087,0.15,r8_placeholder_constant,0.2841
E_500kWe_200t,0.03,0.15,r8_placeholder_constant,0.4212
E_500kWe_200t,0.087,0.15,r8_placeholder_constant,0.1403
E_200kWe_100t,0.03,0.15,r8_placeholder_constant,0.3498
E_200kWe_100t,0.087,0.15,r8_placeholder_constant,0.1111
