r_km,tau,description,p_impact_inc_26p7deg,tau_unshieldable_above_1cm,p_impact_unshieldable_inc_26p7deg
92000.0,0.3,B-ring inner edge,0.4871013859178386,0.22499999999999995,0.39392880422333343
94000.0,0.8,B1 inner,0.8314414701308454,0.6,0.7369350116725981
96000.0,1.5,B1 outer / B2 transition,0.9645057807418052,1.1249999999999998,0.918225439098721
99000.0,1.8,B2 inner,0.9817950641345434,1.3499999999999999,0.9504387940904501
101000.0,2.2,B2 central,0.992525803341268,1.65,0.9745801261767512
103000.0,2.5,B2 outer / B3 transition,0.9961664948923589,1.8749999999999998,0.9845937466754516
104500.0,3.0,B3 inner (densest region begins),0.9987401603992512,2.2499999999999996,0.9933129211894031
107000.0,4.5,B3 core — densest part of B-ring,0.9999552829769809,3.3749999999999996,0.9994531670665512
110000.0,3.5,B3 outer / B4 transition,0.9995859674697052,2.6249999999999996,0.9970974758056274
113000.0,2.2,B4 central,0.992525803341268,1.65,0.9745801261767512
115000.0,1.5,B4 outer / B5 transition,0.9645057807418052,1.1249999999999998,0.918225439098721
116500.0,0.8,B5 — B-ring outer region,0.8314414701308454,0.6,0.7369350116725981
117000.0,0.4,B-ring outer 580 km,0.5894411980371695,0.3,0.4871013859178386
117400.0,0.1,B-ring outermost ~180 km,0.19953224537849323,0.075,0.1537320736305683
117580.0,0.03,B-ring nominal outer edge,0.06458753569399778,0.022499999999999996,0.04884265836381041
117680.0,0.001,Huygens Gap (just inside CD inner),0.0022231154992675695,0.0007499999999999999,0.001667800389411278
117800.0,0.001,Huygens Gap centre,0.0022231154992675695,0.0007499999999999999,0.001667800389411278
117900.0,0.3,Huygens Ringlet (within Huygens Gap),0.4871013859178386,0.22499999999999995,0.39392880422333343
118000.0,0.001,"Huygens Gap, post-ringlet",0.0022231154992675695,0.0007499999999999999,0.001667800389411278
118250.0,0.05,Outer Huygens Gap shoulder,0.10531136442810074,0.0375,0.08007178194740017
118400.0,0.08,CD inner background,0.16309709861311494,0.05999999999999999,0.12500352162097217
118900.0,0.1,CD plateau region,0.19953224537849323,0.075,0.1537320736305683
119900.0,0.05,CD low-density 'lane' (Triple Band),0.10531136442810074,0.0375,0.08007178194740017
120000.0,0.04,CD outer plateau,0.08517602710309069,0.029999999999999995,0.06458753569399778
120800.0,0.08,Outer CD,0.16309709861311494,0.05999999999999999,0.12500352162097217
121850.0,0.001,Laplace Gap (near outer CD),0.0022231154992675695,0.0007499999999999999,0.001667800389411278
122050.0,0.4,Laplace Ringlet,0.5894411980371695,0.3,0.4871013859178386
122170.0,0.4,Cassini Division outer edge / A-ring inner,0.5894411980371695,0.3,0.4871013859178386
