r_km,tau,description,p_impact_inc_26p7deg,p_impact_unshieldable,viable_for_rendezvous (P_imp < 0.01)
117580.0,0.03,B-ring nominal outer edge,0.06458753569399778,0.04884265836381041,False
117680.0,0.001,Huygens Gap (just inside CD inner),0.0022231154992675695,0.001667800389411278,True
117800.0,0.001,Huygens Gap centre,0.0022231154992675695,0.001667800389411278,True
117900.0,0.3,Huygens Ringlet (within Huygens Gap),0.4871013859178386,0.39392880422333343,False
118000.0,0.001,"Huygens Gap, post-ringlet",0.0022231154992675695,0.001667800389411278,True
118250.0,0.05,Outer Huygens Gap shoulder,0.10531136442810074,0.08007178194740017,False
118400.0,0.08,CD inner background,0.16309709861311494,0.12500352162097217,False
118900.0,0.1,CD plateau region,0.19953224537849323,0.1537320736305683,False
119900.0,0.05,CD low-density 'lane' (Triple Band),0.10531136442810074,0.08007178194740017,False
120000.0,0.04,CD outer plateau,0.08517602710309069,0.06458753569399778,False
120800.0,0.08,Outer CD,0.16309709861311494,0.12500352162097217,False
121850.0,0.001,Laplace Gap (near outer CD),0.0022231154992675695,0.001667800389411278,True
122050.0,0.4,Laplace Ringlet,0.5894411980371695,0.4871013859178386,False
122170.0,0.4,Cassini Division outer edge / A-ring inner,0.5894411980371695,0.4871013859178386,False
