location,r_km,v_orbit_local_ms,tau,v_rel_ms,rate_per_m2_per_s,rate_per_100m2_per_s,m_per_encounter_kg,mdot_per_100m2_kg_per_s,time_to_fill_482t_hours_at_100m2,ke_per_encounter_j_per_kg
B2 central (τ=2.2),100000.0,19475.935844010168,2.2,1.0,15206.424829471716,1520642.4829471717,0.007329649893386845,11145.777013013245,0.012012521758919724,0.5
B2 central (τ=2.2),100000.0,19475.935844010168,2.2,5.0,76032.12414735858,7603212.414735858,0.007329649893386845,55728.88506506622,0.0024025043517839446,12.5
B2 central (τ=2.2),100000.0,19475.935844010168,2.2,10.0,152064.24829471717,15206424.829471717,0.007329649893386845,111457.77013013244,0.0012012521758919723,50.0
B2 central (τ=2.2),100000.0,19475.935844010168,2.2,30.0,456192.7448841515,45619274.48841515,0.007329649893386845,334373.3103903973,0.00040041739196399086,450.0
B2 central (τ=2.2),100000.0,19475.935844010168,2.2,100.0,1520642.4829471717,152064248.29471716,0.007329649893386845,1114577.7013013244,0.00012012521758919725,5000.0
B3 core (τ=4.5),107000.0,18828.09783871698,4.5,1.0,31104.05078755578,3110405.078755578,0.007329649893386845,22798.180253890725,0.005872788415471866,0.5
B3 core (τ=4.5),107000.0,18828.09783871698,4.5,5.0,155520.2539377789,15552025.39377789,0.007329649893386845,113990.90126945362,0.0011745576830943733,12.5
B3 core (τ=4.5),107000.0,18828.09783871698,4.5,10.0,311040.5078755578,31104050.78755578,0.007329649893386845,227981.80253890724,0.0005872788415471866,50.0
B3 core (τ=4.5),107000.0,18828.09783871698,4.5,30.0,933121.5236266735,93312152.36266735,0.007329649893386845,683945.4076167218,0.00019575961384906218,450.0
B3 core (τ=4.5),107000.0,18828.09783871698,4.5,100.0,3110405.078755578,311040507.8755578,0.007329649893386845,2279818.0253890725,5.872788415471866e-05,5000.0
B5 outer (τ=0.8),116500.0,18044.10611987294,0.8,1.0,5529.609028898806,552960.9028898806,0.007329649893386845,4053.009822913907,0.03303443483702924,0.5
B5 outer (τ=0.8),116500.0,18044.10611987294,0.8,5.0,27648.04514449403,2764804.514449403,0.007329649893386845,20265.049114569534,0.006606886967405848,12.5
B5 outer (τ=0.8),116500.0,18044.10611987294,0.8,10.0,55296.09028898806,5529609.028898806,0.007329649893386845,40530.09822913907,0.003303443483702924,50.0
B5 outer (τ=0.8),116500.0,18044.10611987294,0.8,30.0,165888.2708669642,16588827.086696418,0.007329649893386845,121590.29468741722,0.0011011478279009746,450.0
B5 outer (τ=0.8),116500.0,18044.10611987294,0.8,100.0,552960.9028898806,55296090.28898806,0.007329649893386845,405300.98229139065,0.00033034434837029246,5000.0
B-ring outer 200 km (τ=0.1),117400.0,17974.80910471477,0.1,1.0,691.2011286123508,69120.11286123507,0.007329649893386845,506.6262278642384,0.2642754786962339,0.5
B-ring outer 200 km (τ=0.1),117400.0,17974.80910471477,0.1,5.0,3456.0056430617537,345600.5643061754,0.007329649893386845,2533.1311393211918,0.05285509573924679,12.5
B-ring outer 200 km (τ=0.1),117400.0,17974.80910471477,0.1,10.0,6912.0112861235075,691201.1286123508,0.007329649893386845,5066.2622786423835,0.026427547869623393,50.0
B-ring outer 200 km (τ=0.1),117400.0,17974.80910471477,0.1,30.0,20736.033858370523,2073603.3858370523,0.007329649893386845,15198.786835927152,0.008809182623207797,450.0
B-ring outer 200 km (τ=0.1),117400.0,17974.80910471477,0.1,100.0,69120.11286123507,6912011.286123508,0.007329649893386845,50662.62278642383,0.0026427547869623397,5000.0
Huygens Gap (τ=0.001),117800.0,17944.265651714115,0.001,1.0,6.912011286123507,691.2011286123507,0.007329649893386845,5.066262278642383,26.427547869623396,0.5
Huygens Gap (τ=0.001),117800.0,17944.265651714115,0.001,5.0,34.560056430617536,3456.0056430617537,0.007329649893386845,25.33131139321192,5.285509573924679,12.5
Huygens Gap (τ=0.001),117800.0,17944.265651714115,0.001,10.0,69.12011286123507,6912.0112861235075,0.007329649893386845,50.66262278642384,2.6427547869623393,50.0
Huygens Gap (τ=0.001),117800.0,17944.265651714115,0.001,30.0,207.36033858370521,20736.03385837052,0.007329649893386845,151.9878683592715,0.88091826232078,450.0
Huygens Gap (τ=0.001),117800.0,17944.265651714115,0.001,100.0,691.2011286123507,69120.11286123507,0.007329649893386845,506.6262278642383,0.26427547869623397,5000.0
