power_mwe,isp_exit_s,isp_inbound_s,t_exit_month,t_inbound_year,exit_closes,inbound_closes,both_close,delivered_pct
0.5,1000,1000,11.45,0.767,no,yes,no,0.000
0.5,1000,2000,11.45,2.349,no,yes,no,0.000
0.5,1000,3000,11.45,4.158,no,yes,no,0.000
0.5,1000,5000,11.45,7.980,no,no,no,0.000
0.5,1000,7000,11.45,11.900,no,no,no,0.000
0.5,1000,9000,11.45,15.855,no,no,no,0.000
0.5,2000,1000,27.17,1.119,no,yes,no,0.000
0.5,2000,2000,27.17,3.426,no,yes,no,0.000
0.5,2000,3000,27.17,6.063,no,no,no,0.000
0.5,2000,5000,27.17,11.638,no,no,no,0.000
0.5,2000,7000,27.17,17.354,no,no,no,1.867
0.5,2000,9000,27.17,23.122,no,no,no,9.194
0.5,3000,1000,43.26,1.269,no,yes,no,0.000
0.5,3000,2000,43.26,3.885,no,yes,no,0.000
0.5,3000,3000,43.26,6.876,no,no,no,0.000
0.5,3000,5000,43.26,13.198,no,no,no,0.987
0.5,3000,7000,43.26,19.679,no,no,no,14.456
0.5,3000,9000,43.26,26.221,no,no,no,22.764
0.5,5000,1000,75.68,1.403,no,yes,no,0.000
0.5,5000,2000,75.68,4.297,no,yes,no,0.000
0.5,5000,3000,75.68,7.603,no,no,no,0.000
0.5,5000,5000,75.68,14.595,no,no,no,10.836
0.5,5000,7000,75.68,21.762,no,no,no,25.731
0.5,5000,9000,75.68,28.996,no,no,no,34.918
0.5,7000,1000,108.22,1.465,no,yes,no,0.000
0.5,7000,2000,108.22,4.486,no,yes,no,0.000
0.5,7000,3000,108.22,7.938,no,no,no,0.000
0.5,7000,5000,108.22,15.238,no,no,no,15.370
0.5,7000,7000,108.22,22.721,no,no,no,30.921
0.5,7000,9000,108.22,30.274,no,no,no,40.514
0.5,9000,1000,140.79,1.501,no,yes,no,0.000
0.5,9000,2000,140.79,4.595,no,yes,no,0.000
0.5,9000,3000,140.79,8.131,no,no,no,0.000
0.5,9000,5000,140.79,15.607,no,no,no,17.975
0.5,9000,7000,140.79,23.272,no,no,no,33.903
0.5,9000,9000,140.79,31.008,no,no,no,43.728
1.0,1000,1000,5.72,0.384,yes,yes,yes,0.000
1.0,1000,2000,5.72,1.175,yes,yes,yes,0.000
1.0,1000,3000,5.72,2.079,yes,yes,yes,0.000
1.0,1000,5000,5.72,3.990,yes,yes,yes,0.000
1.0,1000,7000,5.72,5.950,yes,yes,yes,0.000
1.0,1000,9000,5.72,7.928,yes,no,no,0.000
1.0,2000,1000,13.58,0.560,no,yes,no,0.000
1.0,2000,2000,13.58,1.713,no,yes,no,0.000
1.0,2000,3000,13.58,3.032,no,yes,no,0.000
1.0,2000,5000,13.58,5.819,no,yes,no,0.000
1.0,2000,7000,13.58,8.677,no,no,no,1.867
1.0,2000,9000,13.58,11.561,no,no,no,9.194
1.0,3000,1000,21.63,0.634,no,yes,no,0.000
1.0,3000,2000,21.63,1.943,no,yes,no,0.000
1.0,3000,3000,21.63,3.438,no,yes,no,0.000
1.0,3000,5000,21.63,6.599,no,no,no,0.987
1.0,3000,7000,21.63,9.840,no,no,no,14.456
1.0,3000,9000,21.63,13.110,no,no,no,22.764
1.0,5000,1000,37.84,0.702,no,yes,no,0.000
1.0,5000,2000,37.84,2.148,no,yes,no,0.000
1.0,5000,3000,37.84,3.802,no,yes,no,0.000
1.0,5000,5000,37.84,7.297,no,no,no,10.836
1.0,5000,7000,37.84,10.881,no,no,no,25.731
1.0,5000,9000,37.84,14.498,no,no,no,34.918
1.0,7000,1000,54.11,0.733,no,yes,no,0.000
1.0,7000,2000,54.11,2.243,no,yes,no,0.000
1.0,7000,3000,54.11,3.969,no,yes,no,0.000
1.0,7000,5000,54.11,7.619,no,no,no,15.370
1.0,7000,7000,54.11,11.361,no,no,no,30.921
1.0,7000,9000,54.11,15.137,no,no,no,40.514
1.0,9000,1000,70.39,0.750,no,yes,no,0.000
1.0,9000,2000,70.39,2.297,no,yes,no,0.000
1.0,9000,3000,70.39,4.065,no,yes,no,0.000
1.0,9000,5000,70.39,7.804,no,no,no,17.975
1.0,9000,7000,70.39,11.636,no,no,no,33.903
1.0,9000,9000,70.39,15.504,no,no,no,43.728
2.0,1000,1000,2.86,0.192,yes,yes,yes,0.000
2.0,1000,2000,2.86,0.587,yes,yes,yes,0.000
2.0,1000,3000,2.86,1.039,yes,yes,yes,0.000
2.0,1000,5000,2.86,1.995,yes,yes,yes,0.000
2.0,1000,7000,2.86,2.975,yes,yes,yes,0.000
2.0,1000,9000,2.86,3.964,yes,yes,yes,0.000
2.0,2000,1000,6.79,0.280,no,yes,no,0.000
2.0,2000,2000,6.79,0.857,no,yes,no,0.000
2.0,2000,3000,6.79,1.516,no,yes,no,0.000
2.0,2000,5000,6.79,2.910,no,yes,no,0.000
2.0,2000,7000,6.79,4.338,no,yes,no,1.867
2.0,2000,9000,6.79,5.780,no,yes,no,9.194
2.0,3000,1000,10.81,0.317,no,yes,no,0.000
2.0,3000,2000,10.81,0.971,no,yes,no,0.000
2.0,3000,3000,10.81,1.719,no,yes,no,0.000
2.0,3000,5000,10.81,3.299,no,yes,no,0.987
2.0,3000,7000,10.81,4.920,no,yes,no,14.456
2.0,3000,9000,10.81,6.555,no,no,no,22.764
2.0,5000,1000,18.92,0.351,no,yes,no,0.000
2.0,5000,2000,18.92,1.074,no,yes,no,0.000
2.0,5000,3000,18.92,1.901,no,yes,no,0.000
2.0,5000,5000,18.92,3.649,no,yes,no,10.836
2.0,5000,7000,18.92,5.441,no,yes,no,25.731
2.0,5000,9000,18.92,7.249,no,no,no,34.918
2.0,7000,1000,27.05,0.366,no,yes,no,0.000
2.0,7000,2000,27.05,1.121,no,yes,no,0.000
2.0,7000,3000,27.05,1.985,no,yes,no,0.000
2.0,7000,5000,27.05,3.809,no,yes,no,15.370
2.0,7000,7000,27.05,5.680,no,yes,no,30.921
2.0,7000,9000,27.05,7.568,no,no,no,40.514
2.0,9000,1000,35.20,0.375,no,yes,no,0.000
2.0,9000,2000,35.20,1.149,no,yes,no,0.000
2.0,9000,3000,35.20,2.033,no,yes,no,0.000
2.0,9000,5000,35.20,3.902,no,yes,no,17.975
2.0,9000,7000,35.20,5.818,no,yes,no,33.903
2.0,9000,9000,35.20,7.752,no,no,no,43.728
5.0,1000,1000,1.14,0.077,yes,yes,yes,0.000
5.0,1000,2000,1.14,0.235,yes,yes,yes,0.000
5.0,1000,3000,1.14,0.416,yes,yes,yes,0.000
