power_kwe,isp_s,eta,thrust_n,mr,m_propellant_t,burn_time_year,burn_time_month,fits_6mo_dwell
500,3000,canonical,22.09,1.2860,84.51,3.566,42.79,no
500,3000,realistic,10.20,1.2860,84.51,7.726,92.71,no
500,5000,canonical,13.26,1.1629,53.23,6.239,74.87,no
500,5000,realistic,6.12,1.1629,53.23,13.518,162.22,no
500,7000,canonical,9.47,1.1138,38.83,8.921,107.05,no
500,7000,realistic,4.37,1.1138,38.83,19.329,231.95,no
500,9000,canonical,7.36,1.0875,30.56,11.606,139.27,no
500,9000,realistic,3.40,1.0875,30.56,25.146,301.76,no
1000,3000,canonical,44.19,1.2860,84.51,1.783,21.40,no
1000,3000,realistic,20.39,1.2860,84.51,3.863,46.36,no
1000,5000,canonical,26.51,1.1629,53.23,3.120,37.44,no
1000,5000,realistic,12.24,1.1629,53.23,6.759,81.11,no
1000,7000,canonical,18.94,1.1138,38.83,4.461,53.53,no
1000,7000,realistic,8.74,1.1138,38.83,9.665,115.97,no
1000,9000,canonical,14.73,1.0875,30.56,5.803,69.64,no
1000,9000,realistic,6.80,1.0875,30.56,12.573,150.88,no
2000,3000,canonical,88.38,1.2860,84.51,0.891,10.70,no
2000,3000,realistic,40.79,1.2860,84.51,1.932,23.18,no
2000,5000,canonical,53.03,1.1629,53.23,1.560,18.72,no
2000,5000,realistic,24.47,1.1629,53.23,3.380,40.55,no
2000,7000,canonical,37.88,1.1138,38.83,2.230,26.76,no
2000,7000,realistic,17.48,1.1138,38.83,4.832,57.99,no
2000,9000,canonical,29.46,1.0875,30.56,2.901,34.82,no
2000,9000,realistic,13.60,1.0875,30.56,6.287,75.44,no
5000,3000,canonical,220.94,1.2860,84.51,0.357,4.28,yes
5000,3000,realistic,101.97,1.2860,84.51,0.773,9.27,no
5000,5000,canonical,132.56,1.1629,53.23,0.624,7.49,no
5000,5000,realistic,61.18,1.1629,53.23,1.352,16.22,no
5000,7000,canonical,94.69,1.1138,38.83,0.892,10.71,no
5000,7000,realistic,43.70,1.1138,38.83,1.933,23.19,no
5000,9000,canonical,73.65,1.0875,30.56,1.161,13.93,no
5000,9000,realistic,33.99,1.0875,30.56,2.515,30.18,no
10000,3000,canonical,441.88,1.2860,84.51,0.178,2.14,yes
10000,3000,realistic,203.94,1.2860,84.51,0.386,4.64,yes
10000,5000,canonical,265.13,1.1629,53.23,0.312,3.74,yes
10000,5000,realistic,122.37,1.1629,53.23,0.676,8.11,no
10000,7000,canonical,189.38,1.1138,38.83,0.446,5.35,yes
10000,7000,realistic,87.40,1.1138,38.83,0.966,11.60,no
10000,9000,canonical,147.29,1.0875,30.56,0.580,6.96,no
10000,9000,realistic,67.98,1.0875,30.56,1.257,15.09,no
