power_kwe,isp_exit_s,eta,t_exit_year,t_inbound_year,t_total_hour,fraction_aeps_5mn,fraction_aeps_10mn
500,5000,canonical,6.239,14.438,181255,18.126,36.251
500,7000,canonical,8.921,15.074,210341,21.034,42.068
500,9000,canonical,11.606,15.439,237081,23.708,47.416
1000,5000,canonical,3.120,7.219,90628,9.063,18.126
1000,7000,canonical,4.461,7.537,105171,10.517,21.034
1000,9000,canonical,5.803,7.720,118540,11.854,23.708
2000,5000,canonical,1.560,3.609,45314,4.531,9.063
2000,7000,canonical,2.230,3.769,52585,5.259,10.517
2000,9000,canonical,2.901,3.860,59270,5.927,11.854
5000,5000,canonical,0.624,1.444,18126,1.813,3.625
5000,7000,canonical,0.892,1.507,21034,2.103,4.207
5000,9000,canonical,1.161,1.544,23708,2.371,4.742
10000,5000,canonical,0.312,0.722,9063,0.906,1.813
10000,7000,canonical,0.446,0.754,10517,1.052,2.103
10000,9000,canonical,0.580,0.772,11854,1.185,2.371
