isp_s,dwell_months,eta,min_power_kwe,min_power_mwe
3000,6,canonical,3565.9,3.566
3000,6,realistic,7726.0,7.726
3000,12,canonical,1782.9,1.783
3000,12,realistic,3863.0,3.863
3000,24,canonical,891.5,0.891
3000,24,realistic,1931.5,1.932
3000,36,canonical,594.3,0.594
3000,36,realistic,1287.7,1.288
5000,6,canonical,6239.2,6.239
5000,6,realistic,13518.3,13.518
5000,12,canonical,3119.6,3.120
5000,12,realistic,6759.1,6.759
5000,24,canonical,1559.8,1.560
5000,24,realistic,3379.6,3.380
5000,36,canonical,1039.9,1.040
5000,36,realistic,2253.0,2.253
7000,6,canonical,8921.1,8.921
7000,6,realistic,19329.1,19.329
7000,12,canonical,4460.6,4.461
7000,12,realistic,9664.5,9.665
7000,24,canonical,2230.3,2.230
7000,24,realistic,4832.3,4.832
7000,36,canonical,1486.9,1.487
7000,36,realistic,3221.5,3.222
9000,6,canonical,11606.0,11.606
9000,6,realistic,25146.3,25.146
9000,12,canonical,5803.0,5.803
9000,12,realistic,12573.2,12.573
9000,24,canonical,2901.5,2.901
9000,24,realistic,6286.6,6.287
9000,36,canonical,1934.3,1.934
9000,36,realistic,4191.1,4.191
