n,t_launch_yr,t_exit_yr,t_jup_cross_yr,theta_saturn_at_exit_deg,theta_chunk_at_cross_deg,theta_jupiter_at_cross_deg,separation_deg,abs_separation_deg,viable_2deg,viable_5deg,viable_10deg,viable_15deg,viable_30deg
0,0.0,6.54,11.168210493718131,79.92640144481297,116.36846139600624,338.9498876847129,137.41857371129333,137.41857371129333,0,0,0,0,0
1,1.0351406151716092,7.575140615171609,12.203351108889741,92.57702290659228,129.01908285778552,10.365914043425676,118.65316881435984,118.65316881435984,0,0,0,0,0
2,2.0702812303432183,8.610281230343219,13.238491724061351,105.22764436837159,141.6697043195648,41.781940402138446,99.88776391742635,99.88776391742635,0,0,0,0,0
3,3.1054218455148277,9.645421845514829,14.273632339232961,117.8782658301509,154.32032578134408,73.19796676085133,81.12235902049275,81.12235902049275,0,0,0,0,0
4,4.140562460686437,10.680562460686437,15.308772954404569,130.5288872919302,166.97094724312342,104.61399311956404,62.356954123559376,62.356954123559376,0,0,0,0,0
5,5.175703075858046,11.715703075858045,16.343913569576177,143.1795087537095,179.62156870490276,136.0300194782768,43.59154922662594,43.59154922662594,0,0,0,0,0
6,6.210843691029655,12.750843691029655,17.379054184747787,155.83013021548882,192.2721901666821,167.44604583698958,24.82614432969251,24.82614432969251,0,0,0,0,1
7,7.245984306201264,13.785984306201264,18.414194799919397,168.48075167726813,204.92281162846143,198.86207219570235,6.060739432759078,6.060739432759078,0,0,1,1,1
8,8.281124921372873,14.821124921372874,19.449335415091006,181.13137313904744,217.5734330902407,230.27809855441512,-12.704665464174411,12.704665464174411,0,0,0,1,1
9,9.316265536544483,15.856265536544484,20.484476030262616,193.78199460082678,230.22405455202005,261.694124913128,-31.470070361107958,31.470070361107958,0,0,0,0,0
10,10.351406151716091,16.89140615171609,21.519616645434223,206.43261606260603,242.87467601379927,293.11015127184066,-50.23547525804139,50.23547525804139,0,0,0,0,0
11,11.386546766887701,17.9265467668877,22.554757260605832,219.08323752438537,255.5252974755786,324.52617763055343,-69.00088015497482,69.00088015497482,0,0,0,0,0
12,12.42168738205931,18.96168738205931,23.589897875777442,231.73385898616468,268.17591893735795,355.9422039892663,-87.76628505190837,87.76628505190837,0,0,0,0,0
13,13.456827997230919,19.99682799723092,24.625038490949052,244.384480447944,280.82654039913723,27.358230347978974,-106.53168994884174,106.53168994884174,0,0,0,0,0
14,14.491968612402529,21.03196861240253,25.660179106120662,257.0351019097233,293.47716186091657,58.77425670669186,-125.29709484577529,125.29709484577529,0,0,0,0,0
15,15.527109227574137,22.067109227574136,26.695319721292268,269.6857233715026,306.12778332269585,90.19028306540463,-144.06249974270878,144.06249974270878,0,0,0,0,0
16,16.562249842745747,23.102249842745746,27.730460336463878,282.33634483328194,318.7784047844752,121.6063094241174,-162.8279046396422,162.8279046396422,0,0,0,0,0
17,17.597390457917356,24.137390457917355,28.765600951635488,294.9869662950612,331.42902624625447,153.02233578283017,178.4066904634243,178.4066904634243,0,0,0,0,0
18,18.632531073088966,25.172531073088965,29.800741566807098,307.63758775684056,344.0796477080338,184.43836214154305,159.64128556649075,159.64128556649075,0,0,0,0,0
19,19.667671688260572,26.20767168826057,30.835882181978704,320.28820921861984,356.7302691698131,215.8543885002557,140.87588066955738,140.87588066955738,0,0,0,0,0
20,20.702812303432182,27.24281230343218,31.871022797150314,332.9388306803991,9.380890631592422,247.27041485896848,122.11047577262394,122.11047577262394,0,0,0,0,0
21,21.737952918603792,28.27795291860379,32.90616341232192,345.58945214217846,22.03151209337176,278.68644121768125,103.34507087569051,103.34507087569051,0,0,0,0,0
22,22.773093533775402,29.3130935337754,33.94130402749353,358.2400736039578,34.6821335551511,310.102467576394,84.57966597875708,84.57966597875708,0,0,0,0,0
23,23.80823414894701,30.34823414894701,34.97644464266514,10.890695065737077,47.33275501693032,341.5184939351068,65.81426108182353,65.81426108182353,0,0,0,0,0
24,24.84337476411862,31.38337476411862,36.01158525783676,23.541316527516415,59.98337647870966,12.934520293819787,47.04885618488987,47.04885618488987,0,0,0,0,0
25,25.878515379290228,32.41851537929023,37.046725873008356,36.191937989295695,72.63399794048894,44.35054665253233,28.28345128795661,28.28345128795661,0,0,0,0,1
26,26.913655994461838,33.45365599446184,38.08186648817997,48.84255945107503,85.28461940226828,75.7665730112451,9.518046391023177,9.518046391023177,0,0,1,1,1
27,27.948796609633447,34.48879660963345,39.11700710335158,61.493180912854314,97.93524086404756,107.1825993699581,-9.24735850591054,9.24735850591054,0,0,1,1,1
28,28.983937224805057,35.52393722480506,40.152147718523196,74.14380237463365,110.5858623258269,138.5986257286711,-28.0127634028442,28.0127634028442,0,0,0,0,1
29,30.019077839976667,36.559077839976666,41.187288333694795,86.79442383641293,123.23648378760618,170.0146520873834,-46.778168299777235,46.778168299777235,0,0,0,0,0
30,31.054218455148273,37.59421845514827,42.22242894886641,99.44504529819221,135.88710524938546,201.4306784460964,-65.54357319671095,65.54357319671095,0,0,0,0,0
31,32.08935907031989,38.629359070319886,43.25756956403802,112.09566675997155,148.5377267111648,232.8467048048094,-84.30897809364461,84.30897809364461,0,0,0,0,0
32,33.12449968549149,39.66449968549149,44.29271017920962,124.74628822175083,161.18834817294407,264.26273116352195,-103.07438299057787,103.07438299057787,0,0,0,0,0
33,34.1596403006631,40.6996403006631,45.327850794381234,137.3969096835301,173.8389696347233,295.6787575222347,-121.83978788751142,121.83978788751142,0,0,0,0,0
34,35.19478091583471,41.73478091583471,46.36299140955285,150.0475311453095,186.48959109650275,327.0947838809475,-140.60519278444474,140.60519278444474,0,0,0,0,0
35,36.22992153100632,42.76992153100632,47.39813202472445,162.6981526070888,199.14021255828197,358.51081023966026,-159.37059768137829,159.37059768137829,0,0,0,0,0
36,37.26506214617793,43.80506214617793,48.43327263989606,175.34877406886812,211.7908340200613,29.92683659837303,-178.13600257831172,178.13600257831172,0,0,0,0,0
37,38.30020276134954,44.84020276134954,49.468413255067674,187.99939553064746,224.4414554818407,61.3428629570858,163.0985925247549,163.0985925247549,0,0,0,0,0
38,39.335343376521145,45.875343376521144,50.50355387023927,200.65001699242669,237.09207694361993,92.75888931579834,144.3331876278216,144.3331876278216,0,0,0,0,0
39,40.37048399169276,46.91048399169276,51.538694485410886,213.30063845420602,249.74269840539927,124.17491567451134,125.56778273088793,125.56778273088793,0,0,0,0,0
40,41.405624606864365,47.945624606864364,52.5738351005825,225.95125991598536,262.3933198671786,155.5909420332241,106.8023778339545,106.8023778339545,0,0,0,0,0
41,42.44076522203598,48.98076522203598,53.60897571575411,238.6018813777647,275.04394132895794,187.0069683919371,88.03697293702083,88.03697293702083,0,0,0,0,0
42,43.475905837207584,50.01590583720758,54.64411633092571,251.25250283954392,287.69456279073717,218.42299475064965,69.27156804008752,69.27156804008752,0,0,0,0,0
43,44.51104645237919,51.05104645237919,55.679256946097325,263.90312430132326,300.3451842525165,249.83902110936242,50.50616314315408,50.50616314315408,0,0,0,0,0
44,45.546187067550804,52.0861870675508,56.71439756126894,276.5537457631026,312.99580571429584,281.2550474680752,31.74075824622065,31.74075824622065,0,0,0,0,0
45,46.58132768272241,53.12132768272241,57.74953817644054,289.20436722488193,325.6464271760752,312.67107382678796,12.975353349287218,12.975353349287218,0,0,0,1,1
46,47.61646829789402,54.15646829789402,58.78467879161215,301.8549886866613,338.2970486378545,344.08710018550073,-5.790051547646215,5.790051547646215,0,0,1,1,1
47,48.65160891306563,55.19160891306563,59.819819406783765,314.5056101484405,350.94767009963374,15.503126544213501,-24.55545644457976,24.55545644457976,0,0,0,0,1
48,49.68674952823724,56.22674952823724,60.85496002195538,327.15623161021983,3.5982915614130775,46.919152902926726,-43.32086134151365,43.32086134151365,0,0,0,0,0
49,50.72189014340885,57.26189014340885,61.89010063712698,339.80685307199917,16.248913023192415,78.33517926163904,-62.086266238446626,62.086266238446626,0,0,0,0,0
50,51.757030758580456,58.297030758580455,62.92524125229859,352.4574745337784,28.89953448497164,109.75120562035227,-80.85167113538063,80.85167113538063,0,0,0,0,0
51,52.79217137375207,59.33217137375207,63.960381867470204,5.108095995557733,41.55015594675098,141.16723197906504,-99.61707603231406,99.61707603231406,0,0,0,0,0
52,53.827311988923675,60.367311988923674,64.9955224826418,17.75871745733707,54.200777408530314,172.58325833777735,-118.38248092924704,118.38248092924704,0,0,0,0,0
53,54.86245260409529,61.40245260409529,66.03066309781342,30.409338919116408,66.85139887030965,203.99928469649035,-137.1478858261807,137.1478858261807,0,0,0,0,0
54,55.897593219266895,62.437593219266894,67.06580371298503,43.05996038089563,79.50202033208888,235.41531105520335,-155.91329072311447,155.91329072311447,0,0,0,0,0
55,56.9327338344385,63.4727338344385,68.10094432815663,55.71058184267497,92.15264179386821,266.83133741391566,-174.67869562004745,174.67869562004745,0,0,0,0,0
56,57.967874449610115,64.50787444961011,69.13608494332824,68.3612033044543,104.80326325564755,298.2473637726289,166.55589948301866,166.55589948301866,0,0,0,0,0
57,59.00301506478172,65.54301506478173,70.17122555849986,81.01182476623364,117.45388471742689,329.66339013134166,147.79049458608523,147.79049458608523,0,0,0,0,0
