mass_model,power_mwe,isp_exit_s,isp_inbound_s,m_power_t,m_dry_total_t,m_at_exit_t,m_post_exit_t,m_at_earth_t,delivered_t,delivered_pct,t_exit_month,t_inbound_year,exit_closes,inbound_closes,mass_closes,all_close
paper_aspirational,1.0,3000,3000,25.00,159.13,359.13,279.263,126.922,-32.208,-16.1039,20.220,3.2141,no,yes,no,no
paper_aspirational,1.0,3000,5000,25.00,159.13,359.13,279.263,173.991,14.861,7.4307,20.220,6.1694,no,no,yes,no
paper_aspirational,1.0,3000,7000,25.00,159.13,359.13,279.263,199.176,40.046,20.0232,20.220,9.1992,no,no,yes,no
paper_aspirational,1.0,3000,9000,25.00,159.13,359.13,279.263,214.711,55.581,27.7906,20.220,12.2571,no,no,yes,no
paper_aspirational,1.0,5000,3000,25.00,159.13,359.13,308.822,140.357,-18.773,-9.3867,35.379,3.5543,no,yes,no,no
paper_aspirational,1.0,5000,5000,25.00,159.13,359.13,308.822,192.408,33.278,16.6390,35.379,6.8225,no,no,yes,no
paper_aspirational,1.0,5000,7000,25.00,159.13,359.13,308.822,220.259,61.129,30.5644,35.379,10.1729,no,no,yes,no
paper_aspirational,1.0,5000,9000,25.00,159.13,359.13,308.822,237.438,78.308,39.1540,35.379,13.5545,no,no,yes,no
paper_aspirational,1.0,7000,3000,25.00,159.13,359.13,322.430,146.541,-12.589,-6.2945,50.587,3.7109,no,yes,no,no
paper_aspirational,1.0,7000,5000,25.00,159.13,359.13,322.430,200.886,41.756,20.8780,50.587,7.1231,no,no,yes,no
paper_aspirational,1.0,7000,7000,25.00,159.13,359.13,322.430,229.964,70.834,35.4170,50.587,10.6212,no,no,yes,no
paper_aspirational,1.0,7000,9000,25.00,159.13,359.13,322.430,247.900,88.770,44.3850,50.587,14.1517,no,no,yes,no
paper_aspirational,1.0,9000,3000,25.00,159.13,359.13,330.247,150.094,-9.036,-4.5181,65.811,3.8008,no,yes,no,no
