min_point,launches_per_mission,ship_reuse_missions,clearing_price_m_per_t,n_missions,nre_b,per_mission_cost_b,conditional_revenue_per_mission_b,conditional_cashflow_per_mission_b,conditional_program_npv0_b,conjunction_posterior_uniform,expected_revenue_per_mission_b,conjunction_weighted_cashflow_b,conjunction_weighted_npv0_b
H2a_no_aerocapture,3,5,2.5,10,0.5,1.0299999999999998,0.1051,-0.9248999999999998,-9.748999999999999,0.0016687499999999999,0.00017538562499999996,-1.0298246143749998,-10.79824614375
H2a_no_aerocapture,3,5,2.5,10,1.0,1.0299999999999998,0.1051,-0.9248999999999998,-10.248999999999999,0.0016687499999999999,0.00017538562499999996,-1.0298246143749998,-11.29824614375
H2a_no_aerocapture,3,5,2.5,10,3.0,1.0299999999999998,0.1051,-0.9248999999999998,-12.248999999999999,0.0016687499999999999,0.00017538562499999996,-1.0298246143749998,-13.29824614375
H2a_no_aerocapture,3,5,2.5,25,0.5,1.0299999999999998,0.1051,-0.9248999999999998,-23.622499999999995,0.0016687499999999999,0.00017538562499999996,-1.0298246143749998,-26.245615359374995
H2a_no_aerocapture,3,5,2.5,25,1.0,1.0299999999999998,0.1051,-0.9248999999999998,-24.122499999999995,0.0016687499999999999,0.00017538562499999996,-1.0298246143749998,-26.745615359374995
H2a_no_aerocapture,3,5,2.5,25,3.0,1.0299999999999998,0.1051,-0.9248999999999998,-26.122499999999995,0.0016687499999999999,0.00017538562499999996,-1.0298246143749998,-28.745615359374995
H2a_no_aerocapture,3,5,2.5,50,0.5,1.0299999999999998,0.1051,-0.9248999999999998,-46.74499999999999,0.0016687499999999999,0.00017538562499999996,-1.0298246143749998,-51.99123071874999
H2a_no_aerocapture,3,5,2.5,50,1.0,1.0299999999999998,0.1051,-0.9248999999999998,-47.24499999999999,0.0016687499999999999,0.00017538562499999996,-1.0298246143749998,-52.49123071874999
H2a_no_aerocapture,3,5,2.5,50,3.0,1.0299999999999998,0.1051,-0.9248999999999998,-49.24499999999999,0.0016687499999999999,0.00017538562499999996,-1.0298246143749998,-54.49123071874999
H2a_no_aerocapture,3,5,10,10,0.5,1.0299999999999998,0.4204,-0.6095999999999998,-6.595999999999998,0.0016687499999999999,0.0007015424999999998,-1.0292984574999997,-10.792984574999997
H2a_no_aerocapture,3,5,10,10,1.0,1.0299999999999998,0.4204,-0.6095999999999998,-7.095999999999998,0.0016687499999999999,0.0007015424999999998,-1.0292984574999997,-11.292984574999997
H2a_no_aerocapture,3,5,10,10,3.0,1.0299999999999998,0.4204,-0.6095999999999998,-9.095999999999998,0.0016687499999999999,0.0007015424999999998,-1.0292984574999997,-13.292984574999997
H2a_no_aerocapture,3,5,10,25,0.5,1.0299999999999998,0.4204,-0.6095999999999998,-15.739999999999995,0.0016687499999999999,0.0007015424999999998,-1.0292984574999997,-26.232461437499992
H2a_no_aerocapture,3,5,10,25,1.0,1.0299999999999998,0.4204,-0.6095999999999998,-16.239999999999995,0.0016687499999999999,0.0007015424999999998,-1.0292984574999997,-26.732461437499992
H2a_no_aerocapture,3,5,10,25,3.0,1.0299999999999998,0.4204,-0.6095999999999998,-18.239999999999995,0.0016687499999999999,0.0007015424999999998,-1.0292984574999997,-28.732461437499992
H2a_no_aerocapture,3,5,10,50,0.5,1.0299999999999998,0.4204,-0.6095999999999998,-30.97999999999999,0.0016687499999999999,0.0007015424999999998,-1.0292984574999997,-51.964922874999985
H2a_no_aerocapture,3,5,10,50,1.0,1.0299999999999998,0.4204,-0.6095999999999998,-31.47999999999999,0.0016687499999999999,0.0007015424999999998,-1.0292984574999997,-52.464922874999985
H2a_no_aerocapture,3,5,10,50,3.0,1.0299999999999998,0.4204,-0.6095999999999998,-33.47999999999999,0.0016687499999999999,0.0007015424999999998,-1.0292984574999997,-54.464922874999985
H2a_no_aerocapture,3,5,25,10,0.5,1.0299999999999998,1.051,0.02100000000000013,-0.2899999999999987,0.0016687499999999999,0.0017538562499999997,-1.02824614375,-10.782461437499999
H2a_no_aerocapture,3,5,25,10,1.0,1.0299999999999998,1.051,0.02100000000000013,-0.7899999999999987,0.0016687499999999999,0.0017538562499999997,-1.02824614375,-11.282461437499999
H2a_no_aerocapture,3,5,25,10,3.0,1.0299999999999998,1.051,0.02100000000000013,-2.7899999999999987,0.0016687499999999999,0.0017538562499999997,-1.02824614375,-13.282461437499999
H2a_no_aerocapture,3,5,25,25,0.5,1.0299999999999998,1.051,0.02100000000000013,0.025000000000003242,0.0016687499999999999,0.0017538562499999997,-1.02824614375,-26.20615359375
H2a_no_aerocapture,3,5,25,25,1.0,1.0299999999999998,1.051,0.02100000000000013,-0.47499999999999676,0.0016687499999999999,0.0017538562499999997,-1.02824614375,-26.70615359375
H2a_no_aerocapture,3,5,25,25,3.0,1.0299999999999998,1.051,0.02100000000000013,-2.474999999999997,0.0016687499999999999,0.0017538562499999997,-1.02824614375,-28.70615359375
H2a_no_aerocapture,3,5,25,50,0.5,1.0299999999999998,1.051,0.02100000000000013,0.5500000000000065,0.0016687499999999999,0.0017538562499999997,-1.02824614375,-51.9123071875
H2a_no_aerocapture,3,5,25,50,1.0,1.0299999999999998,1.051,0.02100000000000013,0.050000000000006484,0.0016687499999999999,0.0017538562499999997,-1.02824614375,-52.4123071875
H2a_no_aerocapture,3,5,25,50,3.0,1.0299999999999998,1.051,0.02100000000000013,-1.9499999999999935,0.0016687499999999999,0.0017538562499999997,-1.02824614375,-54.4123071875
H2a_no_aerocapture,3,5,100,10,0.5,1.0299999999999998,4.204,3.174,31.24,0.0016687499999999999,0.007015424999999999,-1.0229845749999997,-10.729845749999997
H2a_no_aerocapture,3,5,100,10,1.0,1.0299999999999998,4.204,3.174,30.74,0.0016687499999999999,0.007015424999999999,-1.0229845749999997,-11.229845749999997
H2a_no_aerocapture,3,5,100,10,3.0,1.0299999999999998,4.204,3.174,28.74,0.0016687499999999999,0.007015424999999999,-1.0229845749999997,-13.229845749999997
H2a_no_aerocapture,3,5,100,25,0.5,1.0299999999999998,4.204,3.174,78.85,0.0016687499999999999,0.007015424999999999,-1.0229845749999997,-26.074614374999992
H2a_no_aerocapture,3,5,100,25,1.0,1.0299999999999998,4.204,3.174,78.35,0.0016687499999999999,0.007015424999999999,-1.0229845749999997,-26.574614374999992
H2a_no_aerocapture,3,5,100,25,3.0,1.0299999999999998,4.204,3.174,76.35,0.0016687499999999999,0.007015424999999999,-1.0229845749999997,-28.574614374999992
H2a_no_aerocapture,3,5,100,50,0.5,1.0299999999999998,4.204,3.174,158.2,0.0016687499999999999,0.007015424999999999,-1.0229845749999997,-51.649228749999985
H2a_no_aerocapture,3,5,100,50,1.0,1.0299999999999998,4.204,3.174,157.7,0.0016687499999999999,0.007015424999999999,-1.0229845749999997,-52.149228749999985
H2a_no_aerocapture,3,5,100,50,3.0,1.0299999999999998,4.204,3.174,155.7,0.0016687499999999999,0.007015424999999999,-1.0229845749999997,-54.149228749999985
H2a_no_aerocapture,3,15,2.5,10,0.5,0.9433333333333332,0.1051,-0.8382333333333333,-8.882333333333333,0.0016687499999999999,0.00017538562499999996,-0.9431579477083333,-9.931579477083332
H2a_no_aerocapture,3,15,2.5,10,1.0,0.9433333333333332,0.1051,-0.8382333333333333,-9.382333333333333,0.0016687499999999999,0.00017538562499999996,-0.9431579477083333,-10.431579477083332
H2a_no_aerocapture,3,15,2.5,10,3.0,0.9433333333333332,0.1051,-0.8382333333333333,-11.382333333333333,0.0016687499999999999,0.00017538562499999996,-0.9431579477083333,-12.431579477083332
H2a_no_aerocapture,3,15,2.5,25,0.5,0.9433333333333332,0.1051,-0.8382333333333333,-21.45583333333333,0.0016687499999999999,0.00017538562499999996,-0.9431579477083333,-24.07894869270833
H2a_no_aerocapture,3,15,2.5,25,1.0,0.9433333333333332,0.1051,-0.8382333333333333,-21.95583333333333,0.0016687499999999999,0.00017538562499999996,-0.9431579477083333,-24.57894869270833
H2a_no_aerocapture,3,15,2.5,25,3.0,0.9433333333333332,0.1051,-0.8382333333333333,-23.95583333333333,0.0016687499999999999,0.00017538562499999996,-0.9431579477083333,-26.57894869270833
H2a_no_aerocapture,3,15,2.5,50,0.5,0.9433333333333332,0.1051,-0.8382333333333333,-42.41166666666666,0.0016687499999999999,0.00017538562499999996,-0.9431579477083333,-47.65789738541666
H2a_no_aerocapture,3,15,2.5,50,1.0,0.9433333333333332,0.1051,-0.8382333333333333,-42.91166666666666,0.0016687499999999999,0.00017538562499999996,-0.9431579477083333,-48.15789738541666
H2a_no_aerocapture,3,15,2.5,50,3.0,0.9433333333333332,0.1051,-0.8382333333333333,-44.91166666666666,0.0016687499999999999,0.00017538562499999996,-0.9431579477083333,-50.15789738541666
H2a_no_aerocapture,3,15,10,10,0.5,0.9433333333333332,0.4204,-0.5229333333333333,-5.729333333333333,0.0016687499999999999,0.0007015424999999998,-0.9426317908333333,-9.926317908333333
H2a_no_aerocapture,3,15,10,10,1.0,0.9433333333333332,0.4204,-0.5229333333333333,-6.229333333333333,0.0016687499999999999,0.0007015424999999998,-0.9426317908333333,-10.426317908333333
H2a_no_aerocapture,3,15,10,10,3.0,0.9433333333333332,0.4204,-0.5229333333333333,-8.229333333333333,0.0016687499999999999,0.0007015424999999998,-0.9426317908333333,-12.426317908333333
H2a_no_aerocapture,3,15,10,25,0.5,0.9433333333333332,0.4204,-0.5229333333333333,-13.57333333333333,0.0016687499999999999,0.0007015424999999998,-0.9426317908333333,-24.06579477083333
H2a_no_aerocapture,3,15,10,25,1.0,0.9433333333333332,0.4204,-0.5229333333333333,-14.07333333333333,0.0016687499999999999,0.0007015424999999998,-0.9426317908333333,-24.56579477083333
H2a_no_aerocapture,3,15,10,25,3.0,0.9433333333333332,0.4204,-0.5229333333333333,-16.07333333333333,0.0016687499999999999,0.0007015424999999998,-0.9426317908333333,-26.56579477083333
H2a_no_aerocapture,3,15,10,50,0.5,0.9433333333333332,0.4204,-0.5229333333333333,-26.64666666666666,0.0016687499999999999,0.0007015424999999998,-0.9426317908333333,-47.63158954166666
H2a_no_aerocapture,3,15,10,50,1.0,0.9433333333333332,0.4204,-0.5229333333333333,-27.14666666666666,0.0016687499999999999,0.0007015424999999998,-0.9426317908333333,-48.13158954166666
H2a_no_aerocapture,3,15,10,50,3.0,0.9433333333333332,0.4204,-0.5229333333333333,-29.14666666666666,0.0016687499999999999,0.0007015424999999998,-0.9426317908333333,-50.13158954166666
H2a_no_aerocapture,3,15,25,10,0.5,0.9433333333333332,1.051,0.10766666666666669,0.5766666666666669,0.0016687499999999999,0.0017538562499999997,-0.9415794770833332,-9.915794770833333
H2a_no_aerocapture,3,15,25,10,1.0,0.9433333333333332,1.051,0.10766666666666669,0.07666666666666688,0.0016687499999999999,0.0017538562499999997,-0.9415794770833332,-10.415794770833333
H2a_no_aerocapture,3,15,25,10,3.0,0.9433333333333332,1.051,0.10766666666666669,-1.9233333333333331,0.0016687499999999999,0.0017538562499999997,-0.9415794770833332,-12.415794770833333
H2a_no_aerocapture,3,15,25,25,0.5,0.9433333333333332,1.051,0.10766666666666669,2.1916666666666673,0.0016687499999999999,0.0017538562499999997,-0.9415794770833332,-24.03948692708333
H2a_no_aerocapture,3,15,25,25,1.0,0.9433333333333332,1.051,0.10766666666666669,1.6916666666666673,0.0016687499999999999,0.0017538562499999997,-0.9415794770833332,-24.53948692708333
H2a_no_aerocapture,3,15,25,25,3.0,0.9433333333333332,1.051,0.10766666666666669,-0.3083333333333327,0.0016687499999999999,0.0017538562499999997,-0.9415794770833332,-26.53948692708333
H2a_no_aerocapture,3,15,25,50,0.5,0.9433333333333332,1.051,0.10766666666666669,4.883333333333335,0.0016687499999999999,0.0017538562499999997,-0.9415794770833332,-47.57897385416666
H2a_no_aerocapture,3,15,25,50,1.0,0.9433333333333332,1.051,0.10766666666666669,4.383333333333335,0.0016687499999999999,0.0017538562499999997,-0.9415794770833332,-48.07897385416666
H2a_no_aerocapture,3,15,25,50,3.0,0.9433333333333332,1.051,0.10766666666666669,2.3833333333333346,0.0016687499999999999,0.0017538562499999997,-0.9415794770833332,-50.07897385416666
H2a_no_aerocapture,3,15,100,10,0.5,0.9433333333333332,4.204,3.2606666666666664,32.10666666666666,0.0016687499999999999,0.007015424999999999,-0.9363179083333333,-9.863179083333332
H2a_no_aerocapture,3,15,100,10,1.0,0.9433333333333332,4.204,3.2606666666666664,31.606666666666662,0.0016687499999999999,0.007015424999999999,-0.9363179083333333,-10.363179083333332
H2a_no_aerocapture,3,15,100,10,3.0,0.9433333333333332,4.204,3.2606666666666664,29.606666666666662,0.0016687499999999999,0.007015424999999999,-0.9363179083333333,-12.363179083333332
H2a_no_aerocapture,3,15,100,25,0.5,0.9433333333333332,4.204,3.2606666666666664,81.01666666666667,0.0016687499999999999,0.007015424999999999,-0.9363179083333333,-23.90794770833333
H2a_no_aerocapture,3,15,100,25,1.0,0.9433333333333332,4.204,3.2606666666666664,80.51666666666667,0.0016687499999999999,0.007015424999999999,-0.9363179083333333,-24.40794770833333
H2a_no_aerocapture,3,15,100,25,3.0,0.9433333333333332,4.204,3.2606666666666664,78.51666666666667,0.0016687499999999999,0.007015424999999999,-0.9363179083333333,-26.40794770833333
H2a_no_aerocapture,3,15,100,50,0.5,0.9433333333333332,4.204,3.2606666666666664,162.53333333333333,0.0016687499999999999,0.007015424999999999,-0.9363179083333333,-47.31589541666666
H2a_no_aerocapture,3,15,100,50,1.0,0.9433333333333332,4.204,3.2606666666666664,162.03333333333333,0.0016687499999999999,0.007015424999999999,-0.9363179083333333,-47.81589541666666
H2a_no_aerocapture,3,15,100,50,3.0,0.9433333333333332,4.204,3.2606666666666664,160.03333333333333,0.0016687499999999999,0.007015424999999999,-0.9363179083333333,-49.81589541666666
H2a_no_aerocapture,3,25,2.5,10,0.5,0.9259999999999999,0.1051,-0.8209,-8.709,0.0016687499999999999,0.00017538562499999996,-0.925824614375,-9.75824614375
H2a_no_aerocapture,3,25,2.5,10,1.0,0.9259999999999999,0.1051,-0.8209,-9.209,0.0016687499999999999,0.00017538562499999996,-0.925824614375,-10.25824614375
H2a_no_aerocapture,3,25,2.5,10,3.0,0.9259999999999999,0.1051,-0.8209,-11.209,0.0016687499999999999,0.00017538562499999996,-0.925824614375,-12.25824614375
H2a_no_aerocapture,3,25,2.5,25,0.5,0.9259999999999999,0.1051,-0.8209,-21.0225,0.0016687499999999999,0.00017538562499999996,-0.925824614375,-23.645615359375
H2a_no_aerocapture,3,25,2.5,25,1.0,0.9259999999999999,0.1051,-0.8209,-21.5225,0.0016687499999999999,0.00017538562499999996,-0.925824614375,-24.145615359375
H2a_no_aerocapture,3,25,2.5,25,3.0,0.9259999999999999,0.1051,-0.8209,-23.5225,0.0016687499999999999,0.00017538562499999996,-0.925824614375,-26.145615359375
H2a_no_aerocapture,3,25,2.5,50,0.5,0.9259999999999999,0.1051,-0.8209,-41.545,0.0016687499999999999,0.00017538562499999996,-0.925824614375,-46.79123071875
H2a_no_aerocapture,3,25,2.5,50,1.0,0.9259999999999999,0.1051,-0.8209,-42.045,0.0016687499999999999,0.00017538562499999996,-0.925824614375,-47.29123071875
H2a_no_aerocapture,3,25,2.5,50,3.0,0.9259999999999999,0.1051,-0.8209,-44.045,0.0016687499999999999,0.00017538562499999996,-0.925824614375,-49.29123071875
H2a_no_aerocapture,3,25,10,10,0.5,0.9259999999999999,0.4204,-0.5055999999999999,-5.555999999999999,0.0016687499999999999,0.0007015424999999998,-0.9252984575,-9.752984575
H2a_no_aerocapture,3,25,10,10,1.0,0.9259999999999999,0.4204,-0.5055999999999999,-6.055999999999999,0.0016687499999999999,0.0007015424999999998,-0.9252984575,-10.252984575
H2a_no_aerocapture,3,25,10,10,3.0,0.9259999999999999,0.4204,-0.5055999999999999,-8.056,0.0016687499999999999,0.0007015424999999998,-0.9252984575,-12.252984575
H2a_no_aerocapture,3,25,10,25,0.5,0.9259999999999999,0.4204,-0.5055999999999999,-13.139999999999999,0.0016687499999999999,0.0007015424999999998,-0.9252984575,-23.632461437499998
H2a_no_aerocapture,3,25,10,25,1.0,0.9259999999999999,0.4204,-0.5055999999999999,-13.639999999999999,0.0016687499999999999,0.0007015424999999998,-0.9252984575,-24.132461437499998
H2a_no_aerocapture,3,25,10,25,3.0,0.9259999999999999,0.4204,-0.5055999999999999,-15.639999999999999,0.0016687499999999999,0.0007015424999999998,-0.9252984575,-26.132461437499998
H2a_no_aerocapture,3,25,10,50,0.5,0.9259999999999999,0.4204,-0.5055999999999999,-25.779999999999998,0.0016687499999999999,0.0007015424999999998,-0.9252984575,-46.764922874999996
H2a_no_aerocapture,3,25,10,50,1.0,0.9259999999999999,0.4204,-0.5055999999999999,-26.279999999999998,0.0016687499999999999,0.0007015424999999998,-0.9252984575,-47.264922874999996
H2a_no_aerocapture,3,25,10,50,3.0,0.9259999999999999,0.4204,-0.5055999999999999,-28.279999999999998,0.0016687499999999999,0.0007015424999999998,-0.9252984575,-49.264922874999996
H2a_no_aerocapture,3,25,25,10,0.5,0.9259999999999999,1.051,0.125,0.75,0.0016687499999999999,0.0017538562499999997,-0.9242461437499999,-9.7424614375
H2a_no_aerocapture,3,25,25,10,1.0,0.9259999999999999,1.051,0.125,0.25,0.0016687499999999999,0.0017538562499999997,-0.9242461437499999,-10.2424614375
H2a_no_aerocapture,3,25,25,10,3.0,0.9259999999999999,1.051,0.125,-1.75,0.0016687499999999999,0.0017538562499999997,-0.9242461437499999,-12.2424614375
H2a_no_aerocapture,3,25,25,25,0.5,0.9259999999999999,1.051,0.125,2.625,0.0016687499999999999,0.0017538562499999997,-0.9242461437499999,-23.606153593749998
H2a_no_aerocapture,3,25,25,25,1.0,0.9259999999999999,1.051,0.125,2.125,0.0016687499999999999,0.0017538562499999997,-0.9242461437499999,-24.106153593749998
H2a_no_aerocapture,3,25,25,25,3.0,0.9259999999999999,1.051,0.125,0.125,0.0016687499999999999,0.0017538562499999997,-0.9242461437499999,-26.106153593749998
H2a_no_aerocapture,3,25,25,50,0.5,0.9259999999999999,1.051,0.125,5.75,0.0016687499999999999,0.0017538562499999997,-0.9242461437499999,-46.712307187499995
H2a_no_aerocapture,3,25,25,50,1.0,0.9259999999999999,1.051,0.125,5.25,0.0016687499999999999,0.0017538562499999997,-0.9242461437499999,-47.212307187499995
H2a_no_aerocapture,3,25,25,50,3.0,0.9259999999999999,1.051,0.125,3.25,0.0016687499999999999,0.0017538562499999997,-0.9242461437499999,-49.212307187499995
H2a_no_aerocapture,3,25,100,10,0.5,0.9259999999999999,4.204,3.2779999999999996,32.279999999999994,0.0016687499999999999,0.007015424999999999,-0.918984575,-9.68984575
H2a_no_aerocapture,3,25,100,10,1.0,0.9259999999999999,4.204,3.2779999999999996,31.779999999999994,0.0016687499999999999,0.007015424999999999,-0.918984575,-10.18984575
H2a_no_aerocapture,3,25,100,10,3.0,0.9259999999999999,4.204,3.2779999999999996,29.779999999999994,0.0016687499999999999,0.007015424999999999,-0.918984575,-12.18984575
H2a_no_aerocapture,3,25,100,25,0.5,0.9259999999999999,4.204,3.2779999999999996,81.44999999999999,0.0016687499999999999,0.007015424999999999,-0.918984575,-23.474614374999998
H2a_no_aerocapture,3,25,100,25,1.0,0.9259999999999999,4.204,3.2779999999999996,80.94999999999999,0.0016687499999999999,0.007015424999999999,-0.918984575,-23.974614374999998
H2a_no_aerocapture,3,25,100,25,3.0,0.9259999999999999,4.204,3.2779999999999996,78.94999999999999,0.0016687499999999999,0.007015424999999999,-0.918984575,-25.974614374999998
H2a_no_aerocapture,3,25,100,50,0.5,0.9259999999999999,4.204,3.2779999999999996,163.39999999999998,0.0016687499999999999,0.007015424999999999,-0.918984575,-46.449228749999996
H2a_no_aerocapture,3,25,100,50,1.0,0.9259999999999999,4.204,3.2779999999999996,162.89999999999998,0.0016687499999999999,0.007015424999999999,-0.918984575,-46.949228749999996
H2a_no_aerocapture,3,25,100,50,3.0,0.9259999999999999,4.204,3.2779999999999996,160.89999999999998,0.0016687499999999999,0.007015424999999999,-0.918984575,-48.949228749999996
H2a_no_aerocapture,5,5,2.5,10,0.5,1.63,0.1051,-1.5249,-15.748999999999999,0.0016687499999999999,0.00017538562499999996,-1.629824614375,-16.79824614375
H2a_no_aerocapture,5,5,2.5,10,1.0,1.63,0.1051,-1.5249,-16.249,0.0016687499999999999,0.00017538562499999996,-1.629824614375,-17.29824614375
H2a_no_aerocapture,5,5,2.5,10,3.0,1.63,0.1051,-1.5249,-18.249,0.0016687499999999999,0.00017538562499999996,-1.629824614375,-19.29824614375
H2a_no_aerocapture,5,5,2.5,25,0.5,1.63,0.1051,-1.5249,-38.622499999999995,0.0016687499999999999,0.00017538562499999996,-1.629824614375,-41.245615359374995
H2a_no_aerocapture,5,5,2.5,25,1.0,1.63,0.1051,-1.5249,-39.122499999999995,0.0016687499999999999,0.00017538562499999996,-1.629824614375,-41.745615359374995
H2a_no_aerocapture,5,5,2.5,25,3.0,1.63,0.1051,-1.5249,-41.122499999999995,0.0016687499999999999,0.00017538562499999996,-1.629824614375,-43.745615359374995
H2a_no_aerocapture,5,5,2.5,50,0.5,1.63,0.1051,-1.5249,-76.74499999999999,0.0016687499999999999,0.00017538562499999996,-1.629824614375,-81.99123071874999
H2a_no_aerocapture,5,5,2.5,50,1.0,1.63,0.1051,-1.5249,-77.24499999999999,0.0016687499999999999,0.00017538562499999996,-1.629824614375,-82.49123071874999
H2a_no_aerocapture,5,5,2.5,50,3.0,1.63,0.1051,-1.5249,-79.24499999999999,0.0016687499999999999,0.00017538562499999996,-1.629824614375,-84.49123071874999
H2a_no_aerocapture,5,5,10,10,0.5,1.63,0.4204,-1.2096,-12.596,0.0016687499999999999,0.0007015424999999998,-1.6292984574999998,-16.792984575
H2a_no_aerocapture,5,5,10,10,1.0,1.63,0.4204,-1.2096,-13.096,0.0016687499999999999,0.0007015424999999998,-1.6292984574999998,-17.292984575
H2a_no_aerocapture,5,5,10,10,3.0,1.63,0.4204,-1.2096,-15.096,0.0016687499999999999,0.0007015424999999998,-1.6292984574999998,-19.292984575
H2a_no_aerocapture,5,5,10,25,0.5,1.63,0.4204,-1.2096,-30.740000000000002,0.0016687499999999999,0.0007015424999999998,-1.6292984574999998,-41.23246143749999
H2a_no_aerocapture,5,5,10,25,1.0,1.63,0.4204,-1.2096,-31.240000000000002,0.0016687499999999999,0.0007015424999999998,-1.6292984574999998,-41.73246143749999
H2a_no_aerocapture,5,5,10,25,3.0,1.63,0.4204,-1.2096,-33.24,0.0016687499999999999,0.0007015424999999998,-1.6292984574999998,-43.73246143749999
H2a_no_aerocapture,5,5,10,50,0.5,1.63,0.4204,-1.2096,-60.980000000000004,0.0016687499999999999,0.0007015424999999998,-1.6292984574999998,-81.96492287499998
H2a_no_aerocapture,5,5,10,50,1.0,1.63,0.4204,-1.2096,-61.480000000000004,0.0016687499999999999,0.0007015424999999998,-1.6292984574999998,-82.46492287499998
H2a_no_aerocapture,5,5,10,50,3.0,1.63,0.4204,-1.2096,-63.480000000000004,0.0016687499999999999,0.0007015424999999998,-1.6292984574999998,-84.46492287499998
H2a_no_aerocapture,5,5,25,10,0.5,1.63,1.051,-0.579,-6.289999999999999,0.0016687499999999999,0.0017538562499999997,-1.62824614375,-16.7824614375
H2a_no_aerocapture,5,5,25,10,1.0,1.63,1.051,-0.579,-6.789999999999999,0.0016687499999999999,0.0017538562499999997,-1.62824614375,-17.2824614375
H2a_no_aerocapture,5,5,25,10,3.0,1.63,1.051,-0.579,-8.79,0.0016687499999999999,0.0017538562499999997,-1.62824614375,-19.2824614375
H2a_no_aerocapture,5,5,25,25,0.5,1.63,1.051,-0.579,-14.975,0.0016687499999999999,0.0017538562499999997,-1.62824614375,-41.20615359375
H2a_no_aerocapture,5,5,25,25,1.0,1.63,1.051,-0.579,-15.475,0.0016687499999999999,0.0017538562499999997,-1.62824614375,-41.70615359375
H2a_no_aerocapture,5,5,25,25,3.0,1.63,1.051,-0.579,-17.475,0.0016687499999999999,0.0017538562499999997,-1.62824614375,-43.70615359375
H2a_no_aerocapture,5,5,25,50,0.5,1.63,1.051,-0.579,-29.45,0.0016687499999999999,0.0017538562499999997,-1.62824614375,-81.9123071875
H2a_no_aerocapture,5,5,25,50,1.0,1.63,1.051,-0.579,-29.95,0.0016687499999999999,0.0017538562499999997,-1.62824614375,-82.4123071875
H2a_no_aerocapture,5,5,25,50,3.0,1.63,1.051,-0.579,-31.95,0.0016687499999999999,0.0017538562499999997,-1.62824614375,-84.4123071875
H2a_no_aerocapture,5,5,100,10,0.5,1.63,4.204,2.574,25.24,0.0016687499999999999,0.007015424999999999,-1.6229845749999998,-16.72984575
H2a_no_aerocapture,5,5,100,10,1.0,1.63,4.204,2.574,24.74,0.0016687499999999999,0.007015424999999999,-1.6229845749999998,-17.22984575
H2a_no_aerocapture,5,5,100,10,3.0,1.63,4.204,2.574,22.74,0.0016687499999999999,0.007015424999999999,-1.6229845749999998,-19.22984575
