min_point,sp_w_per_kg,L_yr,X_km_s,closure_in_envelope,prior,reactor_posterior,aero_prior,bring_prior,conjunction_posterior,delivered_t_conditional,expected_delivered_t,program_npv0_usd,capital_class
H1_strict_extrapolation,56.994535519125684,10.0,0.0,False,uniform,2.673432979749276e-05,1.0,0.25,6.68358244937319e-06,,,,n/a (no in-envelope physics)
H1_strict_extrapolation,56.994535519125684,10.0,0.0,False,jeffreys,1.4718900675024106e-05,1.0,0.25,3.6797251687560264e-06,,,,n/a (no in-envelope physics)
H1_strict_extrapolation,56.994535519125684,10.0,0.0,False,skeptical,8.711186113789777e-06,1.0,0.25,2.177796528447444e-06,,,,n/a (no in-envelope physics)
H2a_no_aerocapture,8.0,10.0,0.0,True,uniform,0.0066749999999999995,1.0,0.25,0.0016687499999999999,42.03951383970784,0.07015343872001245,-132495615410.08,sovereign-grant (NPV(0) < 0)
H2a_no_aerocapture,8.0,10.0,0.0,True,jeffreys,0.003675,1.0,0.25,0.00091875,42.03951383970784,0.03862380334023158,-132497586012.29124,sovereign-grant (NPV(0) < 0)
H2a_no_aerocapture,8.0,10.0,0.0,True,skeptical,0.002175,1.0,0.25,0.00054375,42.03951383970784,0.022858985650341133,-132498571313.39687,sovereign-grant (NPV(0) < 0)
H2b_aerocapture_5,6.0,15.0,5.0,True,uniform,0.00267,0.35,0.25,0.000233625,28.853097268019297,0.006740804849241009,-132499578699.69693,sovereign-grant (NPV(0) < 0)
H2b_aerocapture_5,6.0,15.0,5.0,True,jeffreys,0.00147,0.35,0.25,0.000128625,28.853097268019297,0.003711229636098982,-132499768048.14775,sovereign-grant (NPV(0) < 0)
H2b_aerocapture_5,6.0,15.0,5.0,True,skeptical,0.00087,0.35,0.25,7.6125e-05,28.853097268019297,0.002196442029527969,-132499862722.37315,sovereign-grant (NPV(0) < 0)
H2c_aerocapture_10,5.0,15.0,10.0,True,uniform,0.0031149999999999997,0.2,0.25,0.00015575,18.303964010668466,0.0028508423946616134,-132499821822.35034,sovereign-grant (NPV(0) < 0)
H2c_aerocapture_10,5.0,15.0,10.0,True,jeffreys,0.001715,0.2,0.25,8.575e-05,18.303964010668466,0.0015695649139148208,-132499901902.19287,sovereign-grant (NPV(0) < 0)
H2c_aerocapture_10,5.0,15.0,10.0,True,skeptical,0.001015,0.2,0.25,5.075000000000001e-05,18.303964010668466,0.0009289261735414248,-132499941942.11417,sovereign-grant (NPV(0) < 0)
H2c_alt,6.0,10.0,10.0,True,uniform,0.01602,0.2,0.25,0.0008010000000000001,28.853097268019297,0.02311133091168346,-132498555541.81802,sovereign-grant (NPV(0) < 0)
H2c_alt,6.0,10.0,10.0,True,jeffreys,0.00882,0.2,0.25,0.000441,28.853097268019297,0.01272421589519651,-132499204736.50656,sovereign-grant (NPV(0) < 0)
H2c_alt,6.0,10.0,10.0,True,skeptical,0.00522,0.2,0.25,0.000261,28.853097268019297,0.007530658386953036,-132499529333.85081,sovereign-grant (NPV(0) < 0)
