n,t_launch_yr,viable_tol2,min_extension_tol2_yr,viable_tol5,min_extension_tol5_yr,viable_tol10,min_extension_tol10_yr,viable_tol15,min_extension_tol15_yr
0,0.0,0,nan,0,nan,0,nan,0,nan
1,1.0351406151716092,0,nan,0,nan,0,nan,0,nan
2,2.0702812303432183,0,nan,0,nan,0,nan,0,nan
3,3.1054218455148277,0,nan,0,nan,0,nan,0,nan
4,4.140562460686437,0,nan,0,nan,1,2.9000000000000004,1,2.6500000000000004
5,5.175703075858046,1,2.3000000000000003,1,2.15,1,1.9000000000000004,1,1.6
6,6.210843691029655,1,1.3,1,1.1,1,0.8500000000000001,1,0.55
7,7.245984306201264,1,0.25,1,0.09999999999999998,1,0.0,1,0.0
8,8.281124921372873,0,nan,0,nan,0,nan,1,0.0
9,9.316265536544483,0,nan,0,nan,0,nan,0,nan
10,10.351406151716091,0,nan,0,nan,0,nan,0,nan
11,11.386546766887701,0,nan,0,nan,0,nan,0,nan
12,12.42168738205931,0,nan,0,nan,0,nan,0,nan
13,13.456827997230919,0,nan,0,nan,0,nan,0,nan
14,14.491968612402529,0,nan,0,nan,0,nan,0,nan
15,15.527109227574137,0,nan,0,nan,0,nan,0,nan
16,16.562249842745747,0,nan,0,nan,0,nan,0,nan
17,17.597390457917356,0,nan,0,nan,0,nan,0,nan
18,18.632531073088966,0,nan,0,nan,0,nan,0,nan
19,19.667671688260572,0,nan,0,nan,0,nan,0,nan
20,20.702812303432182,0,nan,0,nan,0,nan,0,nan
21,21.737952918603792,0,nan,0,nan,0,nan,0,nan
22,22.773093533775402,0,nan,0,nan,0,nan,0,nan
23,23.80823414894701,0,nan,0,nan,0,nan,1,2.85
24,24.84337476411862,1,2.5,1,2.35,1,2.0500000000000003,1,1.7999999999999998
25,25.878515379290228,1,1.4500000000000002,1,1.3,1,1.05,1,0.75
26,26.913655994461838,1,0.44999999999999996,1,0.25,1,0.0,1,0.0
27,27.948796609633447,0,nan,0,nan,1,0.0,1,0.0
28,28.983937224805057,0,nan,0,nan,0,nan,0,nan
29,30.019077839976667,0,nan,0,nan,0,nan,0,nan
30,31.054218455148273,0,nan,0,nan,0,nan,0,nan
31,32.08935907031989,0,nan,0,nan,0,nan,0,nan
32,33.12449968549149,0,nan,0,nan,0,nan,0,nan
33,34.1596403006631,0,nan,0,nan,0,nan,0,nan
34,35.19478091583471,0,nan,0,nan,0,nan,0,nan
35,36.22992153100632,0,nan,0,nan,0,nan,0,nan
36,37.26506214617793,0,nan,0,nan,0,nan,0,nan
37,38.30020276134954,0,nan,0,nan,0,nan,0,nan
38,39.335343376521145,0,nan,0,nan,0,nan,0,nan
39,40.37048399169276,0,nan,0,nan,0,nan,0,nan
40,41.405624606864365,0,nan,0,nan,0,nan,0,nan
41,42.44076522203598,0,nan,0,nan,0,nan,0,nan
42,43.475905837207584,0,nan,0,nan,0,nan,1,3.0
43,44.51104645237919,1,2.7,1,2.5500000000000003,1,2.25,1,2.0
44,45.546187067550804,1,1.6500000000000004,1,1.5,1,1.2000000000000002,1,0.9500000000000002
45,46.58132768272241,1,0.6499999999999999,1,0.44999999999999996,1,0.19999999999999996,1,0.0
46,47.61646829789402,0,nan,0,nan,1,0.0,1,0.0
47,48.65160891306563,0,nan,0,nan,0,nan,0,nan
48,49.68674952823724,0,nan,0,nan,0,nan,0,nan
49,50.72189014340885,0,nan,0,nan,0,nan,0,nan
50,51.757030758580456,0,nan,0,nan,0,nan,0,nan
51,52.79217137375207,0,nan,0,nan,0,nan,0,nan
52,53.827311988923675,0,nan,0,nan,0,nan,0,nan
53,54.86245260409529,0,nan,0,nan,0,nan,0,nan
54,55.897593219266895,0,nan,0,nan,0,nan,0,nan
55,56.9327338344385,0,nan,0,nan,0,nan,0,nan
56,57.967874449610115,0,nan,0,nan,0,nan,0,nan
57,59.00301506478172,0,nan,0,nan,0,nan,0,nan
