r_a_titan_radii,r_p_km,delta_omega_deg,trim_dv_kms
1,63000.0,10,0.3074054980295476
1,63000.0,30,0.9128761335857026
1,63000.0,60,1.7635412672666793
1,63000.0,90,2.494023977973173
1,63000.0,120,3.0545430761502934
1,63000.0,180,3.527082534533359
3,63000.0,10,0.10420391057623578
3,63000.0,30,0.3094455486355714
3,63000.0,60,0.5978028945145767
3,63000.0,90,0.8454209610484071
3,63000.0,120,1.035424986210985
3,63000.0,180,1.1956057890291536
6,63000.0,10,0.05232585869709205
6,63000.0,30,0.1553876813529271
6,63000.0,60,0.30018594901193707
6,63000.0,90,0.42452704032651983
6,63000.0,120,0.5199373154069555
6,63000.0,180,0.6003718980238743
