power_mwe,isp_spiral_s,isp_inbound_s,dv_spiral_kms,mr_spiral,mr_inbound,m_prop_spiral_t,m_prop_inbound_t,m_after_spiral_t,m_at_earth_t,m_delivered_t,delivered_pct,t_spiral_yr,t_inbound_yr,t_total_burn_yr,t_total_mission_yr,mass_closes,l0_04_pass,strict_pass,waiver_pass,tier
1.0,5000,7000,14.0,1.3305,1.4021,95.41,82.8,288.72,205.92,21.792,10.896,5.591,9.511,15.102,21.602,yes,yes,no,yes,WAIVER
1.0,5000,7000,18.0,1.4435,1.4021,118.03,76.31,266.1,189.79,5.66,2.83,6.917,8.766,15.683,22.183,yes,yes,no,yes,WAIVER
1.0,5000,9000,14.0,1.3305,1.3006,95.41,66.74,288.72,221.98,37.853,18.926,5.591,12.672,18.264,24.764,yes,yes,no,yes,WAIVER
1.0,7000,5000,14.0,1.2262,1.605,70.87,118.09,313.26,195.17,11.044,5.522,8.14,6.921,15.061,21.561,yes,yes,no,yes,WAIVER
1.0,7000,7000,14.0,1.2262,1.4021,70.87,89.84,313.26,223.42,39.295,19.647,8.14,10.319,18.46,24.96,yes,yes,no,yes,WAIVER
1.0,9000,5000,14.0,1.1719,1.605,56.34,123.56,327.79,204.22,20.093,10.046,10.699,7.241,17.94,24.44,yes,yes,no,yes,WAIVER
2.0,5000,7000,14.0,1.3305,1.4021,95.41,82.8,288.72,205.92,21.792,10.896,2.796,4.755,7.551,14.051,yes,yes,yes,yes,STRICT
2.0,5000,7000,18.0,1.4435,1.4021,118.03,76.31,266.1,189.79,5.66,2.83,3.458,4.383,7.841,14.341,yes,yes,yes,yes,STRICT
2.0,5000,9000,14.0,1.3305,1.3006,95.41,66.74,288.72,221.98,37.853,18.926,2.796,6.336,9.132,15.632,yes,yes,no,yes,WAIVER
2.0,5000,9000,18.0,1.4435,1.3006,118.03,61.51,266.1,204.59,20.463,10.232,3.458,5.84,9.298,15.798,yes,yes,no,yes,WAIVER
2.0,5000,9000,19.5,1.4884,1.3006,126.04,59.66,258.09,198.43,14.299,7.15,3.693,5.664,9.357,15.857,yes,yes,no,yes,WAIVER
2.0,7000,5000,14.0,1.2262,1.605,70.87,118.09,313.26,195.17,11.044,5.522,4.07,3.46,7.53,14.03,yes,yes,yes,yes,STRICT
2.0,7000,7000,14.0,1.2262,1.4021,70.87,89.84,313.26,223.42,39.295,19.647,4.07,5.16,9.23,15.73,yes,yes,no,yes,WAIVER
2.0,7000,7000,18.0,1.2998,1.4021,88.6,84.75,295.53,210.78,26.648,13.324,5.089,4.868,9.956,16.456,yes,yes,no,yes,WAIVER
2.0,7000,7000,19.5,1.3285,1.4021,94.99,82.92,289.14,206.22,22.092,11.046,5.455,4.762,10.218,16.718,yes,yes,no,yes,WAIVER
2.0,7000,9000,14.0,1.2262,1.3006,70.87,72.41,313.26,240.85,56.721,28.36,4.07,6.875,10.945,17.445,yes,yes,no,yes,WAIVER
2.0,7000,9000,18.0,1.2998,1.3006,88.6,68.31,295.53,227.22,43.088,21.544,5.089,6.486,11.574,18.074,yes,yes,no,yes,WAIVER
2.0,7000,9000,19.5,1.3285,1.3006,94.99,66.84,289.14,222.31,38.176,19.088,5.455,6.345,11.801,18.301,yes,yes,no,yes,WAIVER
2.0,9000,5000,14.0,1.1719,1.605,56.34,123.56,327.79,204.22,20.093,10.046,5.349,3.621,8.97,15.47,yes,yes,no,yes,WAIVER
2.0,9000,5000,18.0,1.2262,1.605,70.87,118.09,313.26,195.17,11.044,5.522,6.728,3.46,10.189,16.689,yes,yes,no,yes,WAIVER
2.0,9000,5000,19.5,1.2472,1.605,76.15,116.1,307.98,191.88,7.755,3.877,7.229,3.402,10.631,17.131,yes,yes,no,yes,WAIVER
2.0,9000,7000,14.0,1.1719,1.4021,56.34,94.0,327.79,233.78,49.653,24.827,5.349,5.399,10.748,17.248,yes,yes,no,yes,WAIVER
2.0,9000,7000,18.0,1.2262,1.4021,70.87,89.84,313.26,223.42,39.295,19.647,6.728,5.16,11.888,18.388,yes,yes,no,yes,WAIVER
2.0,9000,7000,19.5,1.2472,1.4021,76.15,88.32,307.98,219.66,35.53,17.765,7.229,5.073,12.302,18.802,yes,yes,no,yes,WAIVER
2.0,9000,9000,14.0,1.1719,1.3006,56.34,75.77,327.79,252.02,67.887,33.944,5.349,7.193,12.543,19.043,yes,yes,no,yes,WAIVER
2.0,9000,9000,18.0,1.2262,1.3006,70.87,72.41,313.26,240.85,56.721,28.36,6.728,6.875,13.603,20.103,yes,yes,no,yes,WAIVER
2.0,9000,9000,19.5,1.2472,1.3006,76.15,71.19,307.98,236.79,52.662,26.331,7.229,6.759,13.988,20.488,yes,yes,no,yes,WAIVER
5.0,5000,7000,14.0,1.3305,1.4021,95.41,82.8,288.72,205.92,21.792,10.896,1.118,1.902,3.02,9.52,yes,yes,yes,yes,STRICT
5.0,5000,7000,18.0,1.4435,1.4021,118.03,76.31,266.1,189.79,5.66,2.83,1.383,1.753,3.137,9.637,yes,yes,yes,yes,STRICT
5.0,5000,9000,14.0,1.3305,1.3006,95.41,66.74,288.72,221.98,37.853,18.926,1.118,2.534,3.653,10.153,yes,yes,yes,yes,STRICT
5.0,5000,9000,18.0,1.4435,1.3006,118.03,61.51,266.1,204.59,20.463,10.232,1.383,2.336,3.719,10.219,yes,yes,yes,yes,STRICT
5.0,5000,9000,19.5,1.4884,1.3006,126.04,59.66,258.09,198.43,14.299,7.15,1.477,2.266,3.743,10.243,yes,yes,yes,yes,STRICT
5.0,7000,5000,14.0,1.2262,1.605,70.87,118.09,313.26,195.17,11.044,5.522,1.628,1.384,3.012,9.512,yes,yes,yes,yes,STRICT
5.0,7000,7000,14.0,1.2262,1.4021,70.87,89.84,313.26,223.42,39.295,19.647,1.628,2.064,3.692,10.192,yes,yes,yes,yes,STRICT
5.0,7000,7000,18.0,1.2998,1.4021,88.6,84.75,295.53,210.78,26.648,13.324,2.035,1.947,3.982,10.482,yes,yes,yes,yes,STRICT
5.0,7000,7000,19.5,1.3285,1.4021,94.99,82.92,289.14,206.22,22.092,11.046,2.182,1.905,4.087,10.587,yes,yes,yes,yes,STRICT
5.0,7000,9000,14.0,1.2262,1.3006,70.87,72.41,313.26,240.85,56.721,28.36,1.628,2.75,4.378,10.878,yes,yes,yes,yes,STRICT
5.0,7000,9000,18.0,1.2998,1.3006,88.6,68.31,295.53,227.22,43.088,21.544,2.035,2.594,4.63,11.13,yes,yes,yes,yes,STRICT
5.0,7000,9000,19.5,1.3285,1.3006,94.99,66.84,289.14,222.31,38.176,19.088,2.182,2.538,4.72,11.22,yes,yes,yes,yes,STRICT
5.0,9000,5000,14.0,1.1719,1.605,56.34,123.56,327.79,204.22,20.093,10.046,2.14,1.448,3.588,10.088,yes,yes,yes,yes,STRICT
5.0,9000,5000,18.0,1.2262,1.605,70.87,118.09,313.26,195.17,11.044,5.522,2.691,1.384,4.075,10.575,yes,yes,yes,yes,STRICT
5.0,9000,5000,19.5,1.2472,1.605,76.15,116.1,307.98,191.88,7.755,3.877,2.892,1.361,4.253,10.753,yes,yes,yes,yes,STRICT
5.0,9000,7000,14.0,1.1719,1.4021,56.34,94.0,327.79,233.78,49.653,24.827,2.14,2.16,4.299,10.799,yes,yes,yes,yes,STRICT
5.0,9000,7000,18.0,1.2262,1.4021,70.87,89.84,313.26,223.42,39.295,19.647,2.691,2.064,4.755,11.255,yes,yes,yes,yes,STRICT
5.0,9000,7000,19.5,1.2472,1.4021,76.15,88.32,307.98,219.66,35.53,17.765,2.892,2.029,4.921,11.421,yes,yes,yes,yes,STRICT
