power_mwe,isp_spiral_s,isp_inbound_s,dv_spiral_kms,mr_spiral,mr_inbound,m_prop_spiral_t,m_prop_inbound_t,m_after_spiral_t,m_at_earth_t,m_delivered_t,delivered_pct,t_spiral_yr,t_inbound_yr,t_total_burn_yr,t_total_mission_yr,mass_closes,l0_04_pass,strict_pass,waiver_pass,tier
0.5,3000,3000,14.0,1.6094,2.2003,145.45,130.2,238.68,108.48,0.0,0.0,6.137,5.494,11.631,18.131,no,no,no,no,FAIL
0.5,3000,3000,18.0,1.8438,2.2003,175.79,113.65,208.34,94.69,0.0,0.0,7.418,4.795,12.213,18.713,no,no,no,no,FAIL
0.5,3000,3000,19.5,1.9402,2.2003,186.15,108.0,197.98,89.98,0.0,0.0,7.855,4.557,12.412,18.912,no,no,no,no,FAIL
0.5,3000,5000,14.0,1.6094,1.605,145.45,89.97,238.68,148.71,0.0,0.0,6.137,10.546,16.683,23.183,no,no,no,no,FAIL
0.5,3000,5000,18.0,1.8438,1.605,175.79,78.53,208.34,129.8,0.0,0.0,7.418,9.205,16.623,23.123,no,no,no,no,FAIL
0.5,3000,5000,19.5,1.9402,1.605,186.15,74.63,197.98,123.35,0.0,0.0,7.855,8.747,16.602,23.102,no,no,no,no,FAIL
0.5,3000,7000,14.0,1.6094,1.4021,145.45,68.45,238.68,170.23,0.0,0.0,6.137,15.725,21.862,28.362,no,no,no,no,FAIL
0.5,3000,7000,18.0,1.8438,1.4021,175.79,59.75,208.34,148.59,0.0,0.0,7.418,13.726,21.143,27.643,no,no,no,no,FAIL
0.5,3000,7000,19.5,1.9402,1.4021,186.15,56.78,197.98,141.2,0.0,0.0,7.855,13.043,20.898,27.398,no,no,no,no,FAIL
0.5,3000,9000,14.0,1.6094,1.3006,145.45,55.17,238.68,183.51,0.0,0.0,6.137,20.952,27.089,33.589,no,no,no,no,FAIL
0.5,3000,9000,18.0,1.8438,1.3006,175.79,48.16,208.34,160.18,0.0,0.0,7.418,18.288,25.706,32.206,no,no,no,no,FAIL
0.5,3000,9000,19.5,1.9402,1.3006,186.15,45.76,197.98,152.22,0.0,0.0,7.855,17.379,25.234,31.734,no,no,no,no,FAIL
0.5,5000,3000,14.0,1.3305,2.2003,95.41,157.5,288.72,131.22,0.0,0.0,11.183,6.646,17.829,24.329,no,no,no,no,FAIL
0.5,5000,3000,18.0,1.4435,2.2003,118.03,145.16,266.1,120.94,0.0,0.0,13.834,6.125,19.959,26.459,no,no,no,no,FAIL
0.5,5000,3000,19.5,1.4884,2.2003,126.04,140.79,258.09,117.3,0.0,0.0,14.774,5.941,20.714,27.214,no,no,no,no,FAIL
0.5,5000,5000,14.0,1.3305,1.605,95.41,108.84,288.72,179.88,0.0,0.0,11.183,12.757,23.94,30.44,no,no,no,no,FAIL
0.5,5000,5000,18.0,1.4435,1.605,118.03,100.31,266.1,165.79,0.0,0.0,13.834,11.757,25.591,32.091,no,no,no,no,FAIL
0.5,5000,5000,19.5,1.4884,1.605,126.04,97.29,258.09,160.8,0.0,0.0,14.774,11.403,26.177,32.677,no,no,no,no,FAIL
0.5,5000,7000,14.0,1.3305,1.4021,95.41,82.8,288.72,205.92,21.792,10.896,11.183,19.021,30.204,36.704,yes,yes,no,no,MARGINAL
0.5,5000,7000,18.0,1.4435,1.4021,118.03,76.31,266.1,189.79,5.66,2.83,13.834,17.531,31.365,37.865,yes,yes,no,no,MARGINAL
0.5,5000,7000,19.5,1.4884,1.4021,126.04,74.01,258.09,184.07,0.0,0.0,14.774,17.003,31.777,38.277,no,no,no,no,FAIL
