power_mwe,isp_spiral_s,isp_inbound_s,dv_spiral_kms,mr_spiral,mr_inbound,m_prop_spiral_t,m_prop_inbound_t,m_after_spiral_t,m_at_earth_t,m_delivered_t,delivered_pct,t_spiral_yr,t_inbound_yr,t_total_burn_yr,t_total_mission_yr,mass_closes,l0_04_pass,strict_pass,waiver_pass,tier,note
0.5,3000,3000,7.4,1.286,2.2003,85.43,162.95,298.7,135.76,0.0,0.0,3.605,6.876,10.48,16.98,no,no,no,no,FAIL,impulsive_exit_ref_no_dwell
0.5,3000,5000,7.4,1.286,1.605,85.43,112.6,298.7,186.1,1.973,0.987,3.605,13.198,16.802,23.302,yes,no,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,3000,7000,7.4,1.286,1.4021,85.43,85.66,298.7,213.04,28.912,14.456,3.605,19.679,23.284,29.784,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,3000,9000,7.4,1.286,1.3006,85.43,69.05,298.7,229.66,45.528,22.764,3.605,26.221,29.825,36.325,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,5000,3000,7.4,1.1629,2.2003,53.81,180.19,330.32,150.13,0.0,0.0,6.307,7.603,13.91,20.41,no,no,no,no,FAIL,impulsive_exit_ref_no_dwell
0.5,5000,5000,7.4,1.1629,1.605,53.81,124.52,330.32,205.8,21.672,10.836,6.307,14.595,20.902,27.402,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,5000,7000,7.4,1.1629,1.4021,53.81,94.73,330.32,235.59,51.462,25.731,6.307,21.762,28.069,34.569,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,5000,9000,7.4,1.1629,1.3006,53.81,76.35,330.32,253.97,69.837,34.918,6.307,28.996,35.303,41.803,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,7000,3000,7.4,1.1138,2.2003,39.25,188.13,344.88,156.74,0.0,0.0,9.018,7.938,16.956,23.456,no,no,no,no,FAIL,impulsive_exit_ref_no_dwell
0.5,7000,5000,7.4,1.1138,1.605,39.25,130.0,344.88,214.87,30.74,15.37,9.018,15.238,24.256,30.756,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,7000,7000,7.4,1.1138,1.4021,39.25,98.9,344.88,245.97,61.842,30.921,9.018,22.721,31.739,38.239,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,7000,9000,7.4,1.1138,1.3006,39.25,79.72,344.88,265.16,81.027,40.514,9.018,30.274,39.292,45.792,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,9000,3000,7.4,1.0875,2.2003,30.89,192.69,353.24,160.54,0.0,0.0,11.732,8.131,19.863,26.363,no,no,no,no,FAIL,impulsive_exit_ref_no_dwell
0.5,9000,5000,7.4,1.0875,1.605,30.89,133.16,353.24,220.08,35.95,17.975,11.732,15.607,27.339,33.839,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,9000,7000,7.4,1.0875,1.4021,30.89,101.3,353.24,251.94,67.806,33.903,11.732,23.272,35.004,41.504,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
0.5,9000,9000,7.4,1.0875,1.3006,30.89,81.65,353.24,271.59,87.456,43.728,11.732,31.008,42.74,49.24,yes,yes,no,no,MARGINAL,impulsive_exit_ref_no_dwell
